T,fitness
733,75434343310352.12
811,1.1279273205301552e+16
133,3492.622077471859
355,646793.7230021816
777,1248138672115316.0
115,2795.1325669515186
452,28800859.81461049
940,9.834510407246529e+19
879,1.2351226082659735e+18
345,433241.86674134084
576,9664210363.934769
153,4510.203521732718
950,2.0386825390826242e+20
602,40472543251.46063
162,5057.629738766175
238,20953.906640738063
422,8113363.111890452
511,375540021.0289153
660,1157229155068.1787
285,70980.5019130643
407,4406749.935242589
729,70003925875034.63
525,795984429.0742269
2,1407.5119924268931
321,205934.67930258848
115,2795.1325669515186
177,6513.680100646989
180,7079.274665695132
165,5221.5440008026535
180,7079.274665695132
210,11395.123646846856
183,7017.80951626821
2,1407.5119924268931
3,1368.8637878942932
57,1869.7342273283239
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
32,1689.582169655322
9,1474.2903081357106
3,1368.8637878942932
57,1869.7342273283239
2,1407.5119924268931
6,1415.3857390160892
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
33,1688.916701666224
12,1479.1992900593918
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
4,1393.0385163846584
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
16,1513.1314433463108
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
21,1572.222797452132
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
20,1568.201884725514
43,1767.0872206334814
2,1407.5119924268931
2,1407.5119924268931
64,1918.8340518397615
6,1415.3857390160892
25,1635.8841511301564
2,1407.5119924268931
2,1407.5119924268931
70,2006.967930557112
2,1407.5119924268931
2,1407.5119924268931
28,1638.314764647552
2,1407.5119924268931
13,1494.320059562605
38,1685.6565267821486
2,1407.5119924268931
5,1394.782844143868
2,1407.5119924268931
59,1870.5937058148538
42,1728.167935389248
88,2256.6454931868307
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
15,1499.342464589131
2,1407.5119924268931
2,1407.5119924268931
7,1429.152016391095
2,1407.5119924268931
8,1440.353385411232
13,1494.320059562605
2,1407.5119924268931
7,1429.152016391095
2,1407.5119924268931
60,1819.924549744583
2,1407.5119924268931
38,1685.6565267821486
11,1470.084201273896
2,1407.5119924268931
4,1393.0385163846584
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
46,1748.2734767630297
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
41,1701.2178364308331
6,1415.3857390160892
21,1572.222797452132
39,1707.6825111593312
2,1407.5119924268931
2,1407.5119924268931
2,1407.5119924268931
17,1546.2466842005406
12,1479.1992900593918
2,1407.5119924268931
6,1415.3857390160892
