individual_id,T,alpha,eta,fitness
0,115,0.008695652173913044,0.008695652173913044,2621.0336264019356
1,134,0.007462686567164179,0.007462686567164179,2936.6282868420244
2,130,0.007692307692307693,0.007692307692307693,2998.447628376547
3,133,0.007518796992481203,0.007518796992481203,3007.053247904044
4,153,0.006535947712418301,0.006535947712418301,3563.0760039876545
5,127,0.007874015748031496,0.007874015748031496,3049.7205185714975
6,191,0.005235602094240838,0.005235602094240838,5444.741975128123
7,262,0.003816793893129771,0.003816793893129771,15953.68656145853
8,134,0.007462686567164179,0.007462686567164179,2936.6282868420244
9,121,0.008264462809917356,0.008264462809917356,2716.223964781722
10,147,0.006802721088435374,0.006802721088435374,3515.868646432801
11,128,0.0078125,0.0078125,2887.5482241403233
12,255,0.00392156862745098,0.00392156862745098,15141.647893363168
13,159,0.006289308176100629,0.006289308176100629,3918.877840365706
14,130,0.007692307692307693,0.007692307692307693,2998.447628376547
15,101,0.009900990099009901,0.009900990099009901,2486.5197865917717
16,179,0.00558659217877095,0.00558659217877095,4768.862331874802
17,133,0.007518796992481203,0.007518796992481203,3007.053247904044
18,162,0.006172839506172839,0.006172839506172839,3834.3877589490244
19,162,0.006172839506172839,0.006172839506172839,3834.3877589490244
