individual_id,T,alpha,eta,fitness
0,98,0.01020408163265306,0.01020408163265306,7035.297134648645
1,115,0.008695652173913044,0.008695652173913044,9953.489646362123
2,131,0.007633587786259542,0.007633587786259542,14542.69065910015
3,133,0.007518796992481203,0.007518796992481203,18458.53899068405
4,133,0.007518796992481203,0.007518796992481203,18458.53899068405
5,130,0.007692307692307693,0.007692307692307693,14234.741127230434
6,121,0.008264462809917356,0.008264462809917356,11568.09896462831
7,127,0.007874015748031496,0.007874015748031496,14010.978364202989
8,153,0.006535947712418301,0.006535947712418301,28414.729244183665
9,153,0.006535947712418301,0.006535947712418301,28414.729244183665
10,131,0.007633587786259542,0.007633587786259542,14542.69065910015
11,132,0.007575757575757576,0.007575757575757576,15629.397755290414
12,486,0.00205761316872428,0.00205761316872428,1422214526731203.5
13,94,0.010638297872340425,0.010638297872340425,6766.486318655849
14,130,0.007692307692307693,0.007692307692307693,14234.741127230434
15,133,0.007518796992481203,0.007518796992481203,18458.53899068405
16,133,0.007518796992481203,0.007518796992481203,18458.53899068405
17,153,0.006535947712418301,0.006535947712418301,28414.729244183665
18,127,0.007874015748031496,0.007874015748031496,14010.978364202989
19,133,0.007518796992481203,0.007518796992481203,18458.53899068405
