iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
0,115,9953.489646362123,115,9953.489646362123,initial,1.0,True,0.00045050005428493023,0.0004520000657066703,0
1,115,9953.489646362123,264,6414053.08906147,transformer,0.95,False,21.891619200003333,21.89207429997623,1
2,92,6425.0213225494435,92,6425.0213225494435,transformer,0.9025,True,3.809994086623192e-05,21.893084399984218,0
3,92,6425.0213225494435,756,5.65142034281404e+30,exploration,0.8573749999999999,False,61.62609770009294,83.51946960005444,1
4,92,6425.0213225494435,760,1.040718609822491e+31,exploration,0.8145062499999999,False,59.118093400029466,142.63801950006746,2
5,92,6425.0213225494435,286,24370524.712867144,transformer,0.7737809374999999,False,21.45811339991633,164.09651469998062,3
6,92,6425.0213225494435,548,2.0307884836206748e+18,transformer,0.7350918906249998,False,41.14850370003842,205.24542060005479,4
7,92,6425.0213225494435,225,621918.7658819571,exploration,0.6983372960937497,False,17.07615890004672,222.32204450003337,5
8,92,6425.0213225494435,618,1.5029030046797075e+22,exploration,0.6634204312890623,False,46.546320200082846,268.8687997000525,6
9,92,6425.0213225494435,205,248666.27138654375,exploration,0.6302494097246091,False,15.66208739997819,284.5313673999626,7
10,92,6425.0213225494435,92,6425.0213225494435,transformer,0.5987369392383786,False,3.790005575865507e-05,284.53186360001564,8
11,63,4029.091321489173,63,4029.091321489173,transformer,0.5688000922764596,True,2.610008232295513e-05,284.53232640004717,0
12,63,4029.091321489173,536,4.8174194380830496e+17,transformer,0.5403600876626365,False,40.11290429998189,324.64585450000595,1
13,63,4029.091321489173,322,316496041.0571464,transformer,0.5133420832795047,False,23.788047600071877,348.4343443000689,2
14,2,2192.8603705018736,2,2192.8603705018736,transformer,0.48767497911552943,True,3.729993477463722e-05,348.4348376999842,0
15,2,2192.8603705018736,222,548471.057885946,exploration,0.46329123015975293,False,17.079611400025897,365.5148841000628,1
16,2,2192.8603705018736,254,3236849.051500593,transformer,0.44012666865176525,False,19.301879399921745,384.81720509997103,2
17,2,2192.8603705018736,391,104267228026.70937,exploration,0.41812033521917696,False,28.890467200079,413.7081617000513,3
18,2,2192.8603705018736,869,5.6149240791087855e+38,exploration,0.3972143184582181,False,69.18960040004458,482.8981653000228,4
19,2,2192.8603705018736,2,2192.8603705018736,transformer,0.37735360253530714,False,4.409998655319214e-05,482.8987298000138,5
20,2,2192.8603705018736,2,2192.8603705018736,transformer,0.35848592240854177,False,6.230000872164965e-05,482.8992161999922,6
