iteration,run_0_best_perplexity,run_0_T_best,run_0_step_time,run_1_best_perplexity,run_1_T_best,run_1_step_time,run_2_best_perplexity,run_2_T_best,run_2_step_time,run_3_best_perplexity,run_3_T_best,run_3_step_time,run_4_best_perplexity,run_4_T_best,run_4_step_time,run_5_best_perplexity,run_5_T_best,run_5_step_time,run_6_best_perplexity,run_6_T_best,run_6_step_time,run_7_best_perplexity,run_7_T_best,run_7_step_time,run_8_best_perplexity,run_8_T_best,run_8_step_time,run_9_best_perplexity,run_9_T_best,run_9_step_time
0,2584.7718127072626,115,0.0,2509.131962596967,115,0.0,2647.034019970684,115,0.0,2598.725847548679,115,0.0,2565.1186599591947,115,0.0,2621.0336264019356,115,0.0,2705.046576235523,115,0.0,2620.6517503158734,115,0.0,2597.6310371717323,115,0.0,2591.729445865604,115,0.0
1,1825.1786476123568,46,377.6847254000004,1856.7596790521393,2,253.32379579999903,1879.9626716173457,2,337.46811380000145,1725.7219299880385,13,171.24420090000058,1855.429313826136,2,364.2873405999999,1852.8517395665883,2,246.58473530000265,1837.8877826917596,36,218.13047580000057,2005.2338328681892,2,311.55608389999907,1884.4330247036628,2,266.1179502999985,1917.7990387007744,2,254.63985989999856
2,1698.410610797031,10,12.99324400000114,1684.2240085213175,16,25.2143875999991,1704.5625342185272,13,30.944146699999692,1722.0906432120742,10,20.426450599999953,1675.6542594444736,7,48.37619800000175,1708.7076495002404,5,44.83814699999857,1679.3258925627204,5,59.96815380000044,1708.3231143467765,20,39.510907599997154,1652.6369402405658,6,64.33625709999978,1770.1670909758714,26,8.448691400000826
3,1691.0455910032583,7,35.55731930000002,1680.9991761650476,5,56.39708109999992,1704.5625342185272,13,42.06618750000053,1722.0906432120742,10,29.727221299999655,1675.6542594444736,7,15.276442900001712,1700.246479182177,19,53.672259799997846,1660.5924360591728,6,25.793345000001864,1708.3231143467765,20,102.85350200000175,1652.6369402405658,6,23.19282100000055,1702.704855219274,14,67.85012260000076
4,1691.0455910032583,7,40.88335069999994,1680.9991761650476,5,46.671481600000334,1704.5625342185272,13,53.79660120000153,1722.0906432120742,10,17.718367399998897,1675.6542594444736,7,25.9501065000004,1700.246479182177,19,27.067878000001656,1646.278574044963,7,32.911780599999474,1704.8929178787512,30,50.062512000000424,1652.6369402405658,6,60.96697139999742,1678.487719100788,19,75.10016850000102
5,1691.0455910032583,7,72.74057170000015,1680.9991761650476,5,40.09664749999865,1704.5625342185272,13,71.13296000000082,1722.0906432120742,10,20.803395400000227,1675.6542594444736,7,58.867952000000514,1692.7042941225402,17,54.73785009999847,1646.278574044963,7,16.794312900001387,1702.5962252849092,7,38.824576300001354,1652.6369402405658,6,6.246132700001908,1678.487719100788,19,51.8948206999994
6,1691.0455910032583,7,54.8803672999984,1651.366926335934,12,14.820160199999007,1704.5625342185272,13,32.33216199999879,1722.0906432120742,10,24.698239499999545,1675.6542594444736,7,35.64209100000153,1692.7042941225402,17,12.37140250000084,1646.278574044963,7,59.72155419999763,1702.5962252849092,7,96.12047159999928,1652.6369402405658,6,45.52118809999956,1678.487719100788,19,61.64345550000144
7,1691.0455910032583,7,14.925713500000713,1651.366926335934,12,38.19406319999871,1704.5625342185272,13,35.72248589999981,1716.0949507364714,7,11.996779699999024,1675.6542594444736,7,38.84644010000193,1686.596295093147,18,57.327496099998825,1646.278574044963,7,27.2445974000002,1702.5962252849092,7,55.900313000001915,1652.6369402405658,6,30.508493499997712,1678.487719100788,19,249.50754510000115
8,1691.0455910032583,7,52.28799320000144,1651.366926335934,12,72.29200149999997,1704.5625342185272,13,17.102475700001378,1716.0949507364714,7,46.14115569999922,1675.6542594444736,7,44.00098929999877,1686.596295093147,18,52.16759180000008,1646.278574044963,7,43.73399019999851,1702.5962252849092,7,88.71972019999885,1652.6369402405658,6,51.79072429999724,1678.487719100788,19,15.448498200003089
9,1691.0455910032583,7,42.17521259999921,1651.366926335934,12,44.255567500000325,1704.5625342185272,13,26.70791110000027,1716.0949507364714,7,6.16444600000068,1675.6542594444736,7,9.954740599998331,1686.596295093147,18,9.054580399999397,1646.278574044963,7,8.108020000003307,1702.5962252849092,7,14.05535019999661,1652.6369402405658,6,6.626217200002429,1678.487719100788,19,38.53894700000092
10,1691.0455910032583,7,9.130213200000073,1651.366926335934,12,10.390519700000368,1704.5625342185272,13,20.4023746999992,1716.0949507364714,7,21.633645500000057,1675.6542594444736,7,19.12513609999951,1686.596295093147,18,21.65405119999923,1646.278574044963,7,23.307054799999605,1702.5962252849092,7,20.24832740000056,1652.6369402405658,6,31.801848700000846,1678.487719100788,19,12.614456299997984
11,1691.0455910032583,7,18.397734999998647,1651.366926335934,12,6.642180400000143,1704.5625342185272,13,10.131090499999118,1716.0949507364714,7,27.358138399999007,1675.6542594444736,7,16.41760559999966,1686.596295093147,18,21.001066799999535,1646.278574044963,7,43.39651589999994,1702.5962252849092,7,0.0004760999981954,1652.6369402405658,6,6.321301399999356,1678.487719100788,19,13.247915200001444
12,1691.0455910032583,7,25.816885700000057,1651.366926335934,12,15.958869400001277,1704.5625342185272,13,15.960230799999408,1716.0949507364714,7,41.0953886999996,1675.6542594444736,7,26.968587999999727,1686.596295093147,18,11.061850699999924,1646.278574044963,7,64.9119094000016,1702.5962252849092,7,36.34865480000008,1652.6369402405658,6,26.54436700000224,1678.487719100788,19,12.952166200000647
13,1691.0455910032583,7,23.38233770000079,1651.366926335934,12,31.411952999998903,1704.5625342185272,13,27.342595699999947,1716.0949507364714,7,39.13978060000045,1675.6542594444736,7,29.727153100000574,1686.596295093147,18,32.72090390000085,1646.278574044963,7,10.35666200000196,1702.5962252849092,7,134.6763815000013,1652.6369402405658,6,55.262793100002455,1678.487719100788,19,14.63557690000016
14,1691.0455910032583,7,0.0005032999997638,1651.366926335934,12,0.0004711000001407,1704.5625342185272,13,0.0005258000001049,1716.0949507364714,7,27.99579800000174,1675.6542594444736,7,8.492600800000218,1686.596295093147,18,43.72336329999962,1646.278574044963,7,0.0004665999986173,1702.5962252849092,7,46.685680700000376,1652.6369402405658,6,29.421791900000244,1678.487719100788,19,47.484548899999936
15,1691.0455910032583,7,8.437694599999304,1645.671055881172,13,23.21907800000008,1704.5625342185272,13,8.228409800000009,1716.0949507364714,7,18.210389899999427,1675.6542594444736,7,21.511634499998763,1686.596295093147,18,0.0006609999982174,1646.278574044963,7,13.280091099997662,1702.5962252849092,7,17.544217199996638,1652.6369402405658,6,9.484281199998804,1678.487719100788,19,25.271097499997268
16,1691.0455910032583,7,6.386456599999292,1645.671055881172,13,25.074810800000705,1704.5625342185272,13,26.868885199999568,1716.0949507364714,7,18.2426403999998,1675.6542594444736,7,30.02052620000177,1686.596295093147,18,30.91937340000004,1646.278574044963,7,14.630615200003376,1702.5962252849092,7,6.643555599999672,1652.6369402405658,6,10.558219800001098,1678.487719100788,19,10.427753399999348
17,1691.0455910032583,7,8.694681599999967,1645.671055881172,13,47.828521100000216,1704.5625342185272,13,21.29284870000083,1716.0949507364714,7,0.0005350999999791,1675.6542594444736,7,21.75205239999923,1686.596295093147,18,38.33446379999805,1646.278574044963,7,10.49170679999952,1702.5962252849092,7,9.632853899998736,1652.6369402405658,6,8.546884199997294,1678.487719100788,19,28.047621199999412
18,1691.0455910032583,7,13.97887939999964,1645.671055881172,13,0.0004609000006894,1704.5625342185272,13,49.89186349999909,1716.0949507364714,7,35.233407499999885,1675.6542594444736,7,12.964596400001028,1686.596295093147,18,6.299182899998414,1646.278574044963,7,31.52592299999742,1702.5962252849092,7,0.0004838999993808,1652.6369402405658,6,19.952634899997065,1678.487719100788,19,0.0004695999996329
19,1691.0455910032583,7,0.0005402000006142,1645.671055881172,13,9.471611400000256,1704.5625342185272,13,9.22672430000057,1716.0949507364714,7,79.84198590000051,1675.6542594444736,7,11.269317899997986,1686.596295093147,18,10.83868749999965,1646.278574044963,7,0.0004580000022542,1702.5962252849092,7,6.516885299999558,1652.6369402405658,6,13.665025400001468,1678.487719100788,19,15.988049200001116
20,1691.0455910032583,7,17.085895600001095,1645.671055881172,13,14.305325400000584,1704.5625342185272,13,12.497403000001214,1716.0949507364714,7,17.130619399998977,1675.6542594444736,7,0.0004496000001381,1686.596295093147,18,8.61333829999785,1646.278574044963,7,18.45408349999707,1702.5962252849092,7,11.021330200001104,1652.6369402405658,6,10.94124920000104,1678.487719100788,19,6.952057200000127
