individual_id,T,alpha,eta,fitness
0,2,0.5,0.5,2193.0700850651906
1,2,0.5,0.5,2193.0700850651906
2,2,0.5,0.5,2193.0700850651906
3,2,0.5,0.5,2193.0700850651906
4,2,0.5,0.5,2193.0700850651906
5,2,0.5,0.5,2193.0700850651906
6,2,0.5,0.5,2193.0700850651906
7,3,0.3333333333333333,0.3333333333333333,2263.073509729379
8,17,0.058823529411764705,0.058823529411764705,2499.6091110208417
9,2,0.5,0.5,2193.0700850651906
10,2,0.5,0.5,2193.0700850651906
11,17,0.058823529411764705,0.058823529411764705,2499.6091110208417
12,2,0.5,0.5,2193.0700850651906
13,2,0.5,0.5,2193.0700850651906
14,2,0.5,0.5,2193.0700850651906
15,2,0.5,0.5,2193.0700850651906
16,2,0.5,0.5,2193.0700850651906
17,17,0.058823529411764705,0.058823529411764705,2499.6091110208417
18,17,0.058823529411764705,0.058823529411764705,2499.6091110208417
19,12,0.08333333333333333,0.08333333333333333,2375.3157016456253
