individual_id,T,alpha,eta,fitness
0,64,0.015625,0.015625,1880.9829133320738
1,64,0.015625,0.015625,1880.9829133320738
2,64,0.015625,0.015625,1880.9829133320738
3,64,0.015625,0.015625,1880.9829133320738
4,66,0.015151515151515152,0.015151515151515152,1898.3119138758484
5,64,0.015625,0.015625,1880.9829133320738
6,66,0.015151515151515152,0.015151515151515152,1898.3119138758484
7,69,0.014492753623188406,0.014492753623188406,1931.8786973791932
8,64,0.015625,0.015625,1880.9829133320738
9,64,0.015625,0.015625,1880.9829133320738
10,98,0.01020408163265306,0.01020408163265306,2351.9202706975775
11,64,0.015625,0.015625,1880.9829133320738
12,65,0.015384615384615385,0.015384615384615385,1894.4178679820936
13,64,0.015625,0.015625,1880.9829133320738
14,64,0.015625,0.015625,1880.9829133320738
15,64,0.015625,0.015625,1880.9829133320738
16,96,0.010416666666666666,0.010416666666666666,2323.721166754344
17,64,0.015625,0.015625,1880.9829133320738
18,66,0.015151515151515152,0.015151515151515152,1898.3119138758484
19,59,0.01694915254237288,0.01694915254237288,1841.0132463959812
