individual_id,T,alpha,eta,fitness
0,733,0.001364256480218281,0.001364256480218281,81012973656909.58
1,811,0.0012330456226880395,0.0012330456226880395,1.0919600155870246e+16
2,133,0.007518796992481203,0.007518796992481203,3446.1002232898
3,355,0.0028169014084507044,0.0028169014084507044,639609.0620263572
4,777,0.001287001287001287,0.001287001287001287,1350267357129183.0
5,115,0.008695652173913044,0.008695652173913044,2755.369247236001
6,452,0.0022123893805309734,0.0022123893805309734,29651466.404162996
7,940,0.0010638297872340426,0.0010638297872340426,8.429809298730879e+19
8,879,0.0011376564277588168,0.0011376564277588168,1.4439788397075507e+18
9,345,0.002898550724637681,0.002898550724637681,448202.4517524495
10,576,0.001736111111111111,0.001736111111111111,10350736408.221853
11,153,0.006535947712418301,0.006535947712418301,4258.106090744356
12,950,0.0010526315789473684,0.0010526315789473684,1.868267068694735e+20
13,602,0.0016611295681063123,0.0016611295681063123,43320694483.527855
14,162,0.006172839506172839,0.006172839506172839,4924.462063608098
15,238,0.004201680672268907,0.004201680672268907,21177.75614025388
16,422,0.002369668246445498,0.002369668246445498,8445125.802064277
17,511,0.0019569471624266144,0.0019569471624266144,377881643.36370677
18,660,0.0015151515151515152,0.0015151515151515152,977310662814.8167
19,285,0.0035087719298245615,0.0035087719298245615,74008.00785314104
