iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
1,33,1785.3303492923615,529,17256394.700292833,exploitation,0.95,False,2.7375004719942808e-05,0.00011491699842736125,1
2,33,1785.3303492923615,2,1871.3272077545362,exploitation,0.9025,False,8.66700429469347e-06,0.0002895829966291785,2
3,33,1785.3303492923615,756,102913338947.34537,exploration,0.8573749999999999,False,1.3416007277555764e-05,0.00044491699372883886,3
4,33,1785.3303492923615,760,121320541467.90526,exploration,0.8145062499999999,False,5.4580013966187835e-06,0.0006922920001670718,4
5,33,1785.3303492923615,559,47620154.24319475,exploitation,0.7737809374999999,False,8.874994819052517e-06,0.000854416997754015,5
