iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,step_time,cum_time,no_improvement_count,relative_change_pct
-1,2597.6310371717323,4934.974721951272,3231.971653269345,2597.6310371717323,11316.41078898158,115,0.008695652173913044,0.008695652173913044,0.0,0.0,0,0.0
0,2597.6310371717323,2854.269379583949,210.26380136576353,2597.6310371717323,3057.091735535839,115,0.008695652173913044,0.008695652173913044,108.08271899993997,108.08388789999299,1,0.0
1,2467.264271444714,2529.6505025773718,58.56957360649198,2467.264271444714,2597.6310371717323,111,0.009009009009009009,0.009009009009009009,89.54427569999825,197.63076239998918,0,5.018679091121429
2,2467.264271444714,2487.743321128415,25.08161107108627,2467.264271444714,2518.461895653966,111,0.009009009009009009,0.009009009009009009,82.4495141999796,280.0821645000251,1,0.0
3,2446.347572525201,2454.804376992418,10.174791799666076,2446.347572525201,2467.264271444714,106,0.009433962264150943,0.009433962264150943,64.95555770001374,345.04009110003244,0,0.8477688896805913
4,2446.347572525201,2446.4376974246125,0.18024979882320621,2446.347572525201,2446.798197022259,106,0.009433962264150943,0.009433962264150943,12.9668511999771,358.00872000004165,1,0.0
5,2379.3375962936802,2427.4539255343275,26.3037769286506,2379.3375962936802,2446.347572525201,105,0.009523809523809525,0.009523809523809525,25.04997460008599,383.06024870008696,0,2.739184610727693
6,2344.405215397147,2378.267083818323,23.992992217030036,2344.405215397147,2418.889313802354,98,0.01020408163265306,0.01020408163265306,36.97640099993441,420.0385301000206,0,1.4681557148908915
7,2277.9383107733192,2333.385004809111,40.0219737236895,2277.9383107733192,2379.3375962936802,99,0.010101010101010102,0.010101010101010102,12.21407139999792,432.25443520001136,0,2.8351286794321573
8,2244.6173341452236,2274.862094148367,16.642185666209475,2244.6173341452236,2295.8782042766543,91,0.01098901098901099,0.01098901098901099,11.886378299910575,444.1427020999836,0,1.4627690517564444
9,2181.38602779903,2245.2994635272235,35.26030790188143,2181.38602779903,2277.9383107733192,90,0.011111111111111112,0.011111111111111112,0.00030159996822476387,444.1445373999886,0,2.817019426176382
10,2154.3078245060365,2195.284499921453,32.005378952005074,2154.3078245060365,2244.6173341452236,86,0.011627906976744186,0.011627906976744186,33.558899700059555,477.70501230005175,0,1.2413301886010084
11,2125.8502683447405,2157.7077913985945,18.895612239332994,2125.8502683447405,2177.0365198180784,85,0.011764705882352941,0.011764705882352941,21.634043400059454,499.3406424000859,0,1.3209605348679017
12,2121.8274705857807,2133.090676324842,11.252842510404372,2121.8274705857807,2154.3078245060365,83,0.012048192771084338,0.012048192771084338,32.3202798999846,531.6626285000239,0,0.18923241297196608
13,2121.8274705857807,2127.3991650925827,3.832021739518753,2121.8274705857807,2131.7339090938267,83,0.012048192771084338,0.012048192771084338,10.520376400090754,542.1846062000841,1,0.0
14,2121.8274705857807,2124.2411492411566,1.9707603695726217,2121.8274705857807,2125.8502683447405,83,0.012048192771084338,0.012048192771084338,31.577058600028977,573.7635183000239,2,0.0
15,2121.8274705857807,2124.2411492411566,1.9707603695726217,2121.8274705857807,2125.8502683447405,83,0.012048192771084338,0.012048192771084338,0.00020319991745054722,573.765852099983,3,0.0
16,2121.8274705857807,2122.6320301375727,1.6091191035839074,2121.8274705857807,2125.8502683447405,83,0.012048192771084338,0.012048192771084338,0.00020929996389895678,573.7678439000156,4,0.0
17,2121.8274705857807,2122.6320301375727,1.6091191035839074,2121.8274705857807,2125.8502683447405,83,0.012048192771084338,0.012048192771084338,0.000273300101980567,573.7700853000861,5,0.0
18,2121.8274705857807,2122.6320301375727,1.6091191035839074,2121.8274705857807,2125.8502683447405,83,0.012048192771084338,0.012048192771084338,0.00022090005222707987,573.7722196000395,6,0.0
19,2121.8274705857807,2121.8274705857807,0.0,2121.8274705857807,2121.8274705857807,83,0.012048192771084338,0.012048192771084338,0.00016549997963011265,573.7740084000397,7,0.0
