individual_id,T,alpha,eta,fitness
0,16,0.0625,0.0625,1723.5880435207112
1,16,0.0625,0.0625,1723.5880435207112
2,17,0.058823529411764705,0.058823529411764705,1738.827727874907
3,17,0.058823529411764705,0.058823529411764705,1738.827727874907
4,17,0.058823529411764705,0.058823529411764705,1738.827727874907
5,17,0.058823529411764705,0.058823529411764705,1738.827727874907
6,22,0.045454545454545456,0.045454545454545456,1765.4014790577016
7,16,0.0625,0.0625,1723.5880435207112
8,16,0.0625,0.0625,1723.5880435207112
9,16,0.0625,0.0625,1723.5880435207112
10,17,0.058823529411764705,0.058823529411764705,1738.827727874907
11,15,0.06666666666666667,0.06666666666666667,1724.0580776271645
12,21,0.047619047619047616,0.047619047619047616,1741.5446509255794
13,16,0.0625,0.0625,1723.5880435207112
14,21,0.047619047619047616,0.047619047619047616,1741.5446509255794
15,21,0.047619047619047616,0.047619047619047616,1741.5446509255794
16,18,0.05555555555555555,0.05555555555555555,1710.4169363602082
17,21,0.047619047619047616,0.047619047619047616,1741.5446509255794
18,17,0.058823529411764705,0.058823529411764705,1738.827727874907
19,16,0.0625,0.0625,1723.5880435207112
