individual_id,T,alpha,eta,fitness
0,21,0.047619047619047616,0.047619047619047616,1741.5446509255794
1,25,0.04,0.04,1754.6899643445256
2,25,0.04,0.04,1754.6899643445256
3,25,0.04,0.04,1754.6899643445256
4,25,0.04,0.04,1754.6899643445256
5,26,0.038461538461538464,0.038461538461538464,1770.1670909758714
6,16,0.0625,0.0625,1723.5880435207112
7,25,0.04,0.04,1754.6899643445256
8,25,0.04,0.04,1754.6899643445256
9,25,0.04,0.04,1754.6899643445256
10,29,0.034482758620689655,0.034482758620689655,1784.9573942748095
11,16,0.0625,0.0625,1723.5880435207112
12,29,0.034482758620689655,0.034482758620689655,1784.9573942748095
13,26,0.038461538461538464,0.038461538461538464,1770.1670909758714
14,25,0.04,0.04,1754.6899643445256
15,25,0.04,0.04,1754.6899643445256
16,17,0.058823529411764705,0.058823529411764705,1738.827727874907
17,21,0.047619047619047616,0.047619047619047616,1741.5446509255794
18,24,0.041666666666666664,0.041666666666666664,1744.1994197388285
19,25,0.04,0.04,1754.6899643445256
