dataset,run_id,elapsed_time,algorithm,best_T,best_perplexity,total_time,num_iterations
20news,0,3080.617747783661,GA,7,1691.0455910032583,1948.0563327999553,21
20news,0,3080.617747783661,ES,59,1897.4781958261472,474.5238049000036,21
20news,0,3080.617747783661,PABBO_Full,2,1871.2338458807023,651.4865597999888,20
20news,1,2320.538634300232,GA,102,2257.016703077256,1520.5694281000178,21
20news,1,2320.538634300232,ES,102,2257.016703077256,273.1584481999744,21
20news,1,2320.538634300232,PABBO_Full,9,1675.1231684104946,519.8487538000336,20
20news,2,2840.069264650345,GA,66,1918.2018062745221,1662.1396778000053,21
20news,2,2840.069264650345,ES,54,1841.4059990314238,572.6986436999869,21
20news,2,2840.069264650345,PABBO_Full,13,1704.5625342185272,597.7968408999732,21
20news,3,2470.044726371765,GA,33,1751.5975967646316,1625.393582800054,21
20news,3,2470.044726371765,ES,69,1934.6089607862318,415.0436081000371,21
20news,3,2470.044726371765,PABBO_Full,2,1850.5327699934462,422.60353850002866,21
20news,4,2749.0117721557617,GA,7,1675.6542594444736,1960.9589614999713,21
20news,4,2749.0117721557617,ES,86,2148.736943261475,326.74181070004124,21
20news,4,2749.0117721557617,PABBO_Full,2,1855.4293138261362,454.33056030003354,21
20news,5,2929.38085269928,GA,33,1726.8822676653235,1862.3088380999397,21
20news,5,2929.38085269928,ES,72,1987.9390313281904,465.4572863000212,21
20news,5,2929.38085269928,PABBO_Full,2,1852.8517395665883,594.8557326999726,21
20news,6,2970.4182806015015,GA,7,1646.278574044963,1926.7150354000041,21
20news,6,2970.4182806015015,ES,79,2029.2378105113964,502.81476610002574,21
20news,6,2970.4182806015015,PABBO_Full,16,1725.6098833383144,533.8244413000066,21
20news,7,3185.1466195583344,GA,33,1748.4863132515948,2010.1892495000502,21
20news,7,3185.1466195583344,ES,71,1955.0394618140747,580.5193911000388,21
20news,7,3185.1466195583344,PABBO_Full,2,2005.2338328681892,587.2855555000715,21
20news,8,2914.0917756557465,GA,6,1652.6369402405658,1832.2905516000465,21
20news,8,2914.0917756557465,ES,83,2121.8274705857807,573.7762822000077,21
20news,8,2914.0917756557465,PABBO_Full,40,1851.62348457897,500.7726189000532,21
20news,9,2352.630795955658,GA,13,1695.6559743462262,1733.2767884999048,21
20news,9,2352.630795955658,ES,110,2395.806714486709,355.9939494000282,21
20news,9,2352.630795955658,PABBO_Full,8,1703.291034930608,256.23616470000707,21
agnews,0,2332.946186542511,GA,2,2192.8603705018736,1406.9067848999985,21
agnews,0,2332.946186542511,ES,51,3179.1275714041453,435.7952145000454,21
agnews,0,2332.946186542511,PABBO_Full,2,2192.8603705018736,482.89980110002216,21
agnews,1,2221.053704023361,GA,2,2118.457663127479,1344.4893995999591,21
agnews,1,2221.053704023361,ES,60,3708.7258935107184,466.17838910000864,21
agnews,1,2221.053704023361,PABBO_Full,2,2118.457663127479,402.8523457000265,21
agnews,2,2239.088065624237,GA,4,2137.306919580723,1346.086201399914,21
agnews,2,2239.088065624237,ES,54,3430.396503501162,449.30256139999256,21
agnews,2,2239.088065624237,PABBO_Full,2,2217.4871200165826,436.45458490005694,21
agnews,3,1943.145801782608,GA,3,2160.3369339276005,1288.4101175999967,21
agnews,3,1943.145801782608,ES,66,4127.017128808472,338.8169425999513,21
agnews,3,1943.145801782608,PABBO_Full,2,2177.1719722198573,308.4773875999963,21
agnews,4,2255.541199207306,GA,3,2167.3620108146356,1525.6962220000569,21
agnews,4,2255.541199207306,ES,63,3882.805873932004,389.0261939999182,21
agnews,4,2255.541199207306,PABBO_Full,2,2176.7476723799523,333.3998450000072,21
agnews,5,2347.0330407619476,GA,2,2134.7602765168094,1493.0449644000037,21
agnews,5,2347.0330407619476,ES,68,3987.816975852833,390.0683587999083,21
agnews,5,2347.0330407619476,PABBO_Full,2,2134.7602765168094,455.795843699947,21
agnews,6,2208.900223016739,GA,9,2175.669030092004,1399.6574775000336,21
agnews,6,2208.900223016739,ES,60,3561.058174999698,453.7514220000012,21
agnews,6,2208.900223016739,PABBO_Full,2,2259.092289527277,347.81500229996163,21
agnews,7,2169.86993932724,GA,6,2177.034346614881,1358.026076799957,21
agnews,7,2169.86993932724,ES,65,4113.718855131038,405.5439823999768,21
agnews,7,2169.86993932724,PABBO_Full,2,2211.0743394849474,399.29993790003937,21
agnews,8,2041.7209026813507,GA,4,2132.1918330777557,1265.3603589000413,21
agnews,8,2041.7209026813507,ES,77,4355.230849804077,438.0532668000087,21
agnews,8,2041.7209026813507,PABBO_Full,2,2185.4059981328724,331.0981291999342,21
agnews,9,1815.8983738422394,GA,3,2153.8596737516223,1193.7433628001017,21
agnews,9,1815.8983738422394,ES,59,3654.7958106170636,492.83976390003227,21
agnews,9,1815.8983738422394,PABBO_Full,2,2172.4016717396894,122.33585030003451,21
val_out,0,2361.768052339554,GA,2,1592.0301619344095,1476.6180089999689,21
val_out,0,2361.768052339554,ES,60,2462.0087429904534,396.96170579991303,21
val_out,0,2361.768052339554,PABBO_Full,2,1592.0301619344095,481.112073999946,21
val_out,1,2134.3508355617523,GA,2,1571.259904692312,1294.7739548999816,21
val_out,1,2134.3508355617523,ES,41,2081.3077937145026,456.02816950005945,21
val_out,1,2134.3508355617523,PABBO_Full,2,1571.259904692312,376.48881830007304,21
val_out,2,2224.095308303833,GA,2,1578.409700334476,1326.267982200021,21
val_out,2,2224.095308303833,ES,52,2182.848325416283,449.71752659999765,21
val_out,2,2224.095308303833,PABBO_Full,2,1578.409700334476,441.22006239998154,21
val_out,3,1911.5742602348328,GA,2,1592.908671988759,1262.1611350000603,21
val_out,3,1911.5742602348328,ES,69,2708.9856521794177,334.97374379995745,21
val_out,3,1911.5742602348328,PABBO_Full,2,1592.908671988759,307.5428654999705,21
val_out,4,2177.9505286216736,GA,34,2045.5666614675356,1492.26196230005,21
val_out,4,2177.9505286216736,ES,63,2632.937172961501,338.7058806999121,21
val_out,4,2177.9505286216736,PABBO_Full,2,1594.80343672643,339.825123299961,21
val_out,5,2320.137389421463,GA,2,1529.3567847872805,1483.908570000087,21
val_out,5,2320.137389421463,ES,61,2389.1585565724727,385.99446030007675,21
val_out,5,2320.137389421463,PABBO_Full,2,1529.3567847872805,443.1332398999948,21
val_out,6,2251.9530947208405,GA,2,1519.6865876810566,1406.9705105000176,21
val_out,6,2251.9530947208405,ES,59,2493.1192105675295,477.9777965999674,21
val_out,6,2251.9530947208405,PABBO_Full,2,1519.6865876810566,360.00053130008746,21
val_out,7,2203.1693921089172,GA,33,2000.8657524067828,1358.3664849000052,21
val_out,7,2203.1693921089172,ES,59,2515.8431811867354,429.94494730001315,21
val_out,7,2203.1693921089172,PABBO_Full,2,1538.901786341404,408.0908639000263,21
val_out,8,2141.5961680412292,GA,4,1530.386248823808,1316.7743732000235,21
val_out,8,2141.5961680412292,ES,58,2371.15100757476,479.6280822000699,21
val_out,8,2141.5961680412292,PABBO_Full,2,1568.0508468799355,338.22281319997273,21
val_out,9,1795.7255737781525,GA,2,1574.449311896443,1183.436689299997,21
val_out,9,1795.7255737781525,ES,65,2651.3126784698784,472.81621489999816,21
val_out,9,1795.7255737781525,PABBO_Full,2,1574.449311896443,132.5556799999904,21
yelp,0,3046.781062602997,GA,2,1325.7964302952557,1843.6644507000456,21
yelp,0,3046.781062602997,ES,56,1781.1225135117838,541.4711708000395,21
yelp,0,3046.781062602997,PABBO_Full,2,1325.7964302952557,654.3772032000124,21
yelp,1,2676.5201601982117,GA,2,1333.06861439231,1688.8689951999113,21
yelp,1,2676.5201601982117,ES,50,1761.4922827596881,503.4613549999194,21
yelp,1,2676.5201601982117,PABBO_Full,2,1333.06861439231,477.1370317999972,21
yelp,2,2809.9313011169434,GA,2,1327.5903612930183,1678.4551457999041,21
yelp,2,2809.9313011169434,ES,52,1795.302073357622,528.0359406999778,21
yelp,2,2809.9313011169434,PABBO_Full,2,1327.5903612930183,595.5448759000283,21
yelp,3,2483.2040112018585,GA,2,1331.4960500733955,1638.5736492000287,21
yelp,3,2483.2040112018585,ES,63,1857.8273492854796,411.5623187000165,21
yelp,3,2483.2040112018585,PABBO_Full,2,1331.4960500733955,425.49034160003066,21
yelp,4,2694.474365711212,GA,3,1368.8637878942932,1884.1188411000185,21
yelp,4,2694.474365711212,ES,62,1897.6284204515177,392.6335736999754,21
yelp,4,2694.474365711212,PABBO_Full,2,1407.5119924268931,410.2735667999368,21
yelp,5,2882.3852791786194,GA,39,1672.723826606293,1826.239919399959,21
yelp,5,2882.3852791786194,ES,67,1918.4395886884438,472.34909719997086,21
yelp,5,2882.3852791786194,PABBO_Full,2,1407.2955956489952,576.8195056999102,21
yelp,6,2744.602699995041,GA,2,1347.2235498820792,1743.2879506000318,21
yelp,6,2744.602699995041,ES,56,1774.5480148753581,532.402996400022,21
yelp,6,2744.602699995041,PABBO_Full,2,1347.2235498820792,461.89549390005413,21
yelp,7,2945.227108001709,GA,3,1380.5485086766848,1790.6173853999935,21
