iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,mu,Sigma,step_time,cum_time,no_improvement_count,relative_change_pct,g_prime_norm,G_prime_norm,g_norm,G_norm,lambda,delta_mu_norm,delta_Sigma_norm
-1,2598.725847548679,72035373905156.48,219224354095053.5,2598.725847548679,888959050673058.8,115,0.008695652173913044,0.008695652173913044,0.11322645290581163,0.25,0.0,0.0,0,0.0,,,,,,,
0,1725.7219299880385,45022108692123.67,176785937096804.44,1725.7219299880385,888959050673058.8,13,0.07692307692307693,0.07692307692307693,0.0,0.001,171.24420090000058,1443.3890480999999,0,33.59353655500545,1241.416329736728,2865.0647415245858,40758.705657207196,1001178.2312310294,8400.455755452602,0.036944910070190726,0.24999999480591328
1,1722.0906432120742,32743351776590.547,152091080567182.25,1722.0906432120742,888959050673058.8,10,0.1,0.1,8.820649960572187e-05,0.001,20.426450599999953,1463.8221556999997,0,0.2104213148632524,191.28076685315173,11846.715560363482,8.820649960572187,5521.220750673713,125.95198228046351,0.001518680082478024,0.001000000335094831
2,1722.0906432120742,25726919253430.79,135482160494190.39,1722.0906432120742,888959050673058.8,10,0.1,0.1,0.0,0.001,29.727221299999655,1493.5549449999999,1,0.0,262.5682365851049,11113.67311994877,1348.8312658063867,45981.21917964087,125.69212957427843,0.0020889791385788324,0.0010000003579356883
3,1722.0906432120742,21186874679619.637,123338615777512.16,1722.0906432120742,888959050673058.8,10,0.1,0.1,0.0028241497818746594,0.001,17.718367399998897,1511.2790029000007,2,0.0,492.4151045172796,1556.3427436603595,282.4149781874659,10908.761512386714,111.20239776520187,0.004428097904082139,0.0009999971109847406
4,1722.0906432120742,18008843477948.965,113963962229728.62,1722.0906432120742,888959050673058.8,10,0.1,0.1,0.0,0.00605384969246642,20.803395400000227,1532.087834,3,0.0,18.1537480300404,35319.19990412082,428.5677682894414,41740.29263498638,353.2153256596902,5.139569749874586e-05,0.0009999999599206082
5,1722.0906432120742,15659863894116.453,106444870780311.05,1722.0906432120742,888959050673058.8,10,0.1,0.1,0.0,0.001,24.698239499999545,1556.7916547999994,4,0.0,5399.925082514976,42727.39049620385,123.25629063951851,16865.060040311666,3939.1688312761607,0.00829878997327754,0.006053849710451311
6,1716.0949507364714,13852956521926.064,100240585227565.97,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.006210859800481557,0.001,11.996779699999024,1568.7937301000002,0,0.34816358240118167,346.1194336668132,22156.246643629536,621.0859800481556,32877.83003687216,234.69111519560656,0.0014747871190760133,0.0010000000961564066
7,1716.0949507364714,12419892054330.67,95007931569013.81,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.0,0.001,46.14115569999922,1614.9400299999998,1,0.0,3317.868538299232,1862.0087993911643,5216.49366779855,73850.47904143573,742.1352933768301,0.0044707057700459326,0.0010000003618333307
8,1716.0949507364714,11255527174409.986,90517277713132.17,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.0023417949638869845,0.001,6.16444600000068,1621.109710499999,2,0.0,0.0,0.0,234.17949638869842,7009.63143896611,0.001,0.0,0.0
9,1716.0949507364714,10290767702473.05,86608407066936.53,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.0,0.002417068914208855,21.633645500000057,1642.7485381999995,3,0.0,266.2338696335876,56535.325992573125,337.32207861802044,29313.28799637079,568.4789948774641,0.00046832666119227706,0.00099999998444256
10,1716.0949507364714,9478338673474.236,83165685019012.47,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.0,0.0023836574904509363,27.358138399999007,1670.1136478999997,4,0.0,597.030549876342,11241.403812384755,52.42758114742301,290.04158473185964,341.9144813856414,0.004220540694997077,0.0024170692286378114
11,1716.0949507364714,8784801697506.017,80103283973179.44,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.008166793302899326,0.001,41.0953886999996,1711.2143271999994,5,0.0,8665.97375637596,171101.8168939708,342.6160568628652,48110.37104998285,5058.119591925259,0.004083872055807492,0.0023836574918281207
12,1716.0949507364714,8185837945527.009,77355982480634.56,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.0,0.001,39.13978060000045,1750.3595829000005,6,0.0,998.0257216199709,20024.77045015765,2718.0998165861774,18244.91664260458,299.8373029454047,0.003328557560326004,0.0009999999167243446
13,1716.0949507364714,7663337651250.728,74873212782884.67,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.0,0.001,27.99579800000174,1778.3607097999993,7,0.0,201.03607078279057,3168.6222132604425,8047.930702396702,378791.82159837615,54.998290605952356,0.0036553148930865077,0.000999997130875836
14,1716.0949507364714,7203537392284.363,72615083152488.84,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.0,0.001,18.210389899999427,1796.5765372999995,8,0.0,1035.8929769624644,27152.716586136565,121.25405325317493,15846.669375129597,356.9051012872235,0.0029024325323380386,0.0010000000515947526
15,1716.0949507364714,6795789992823.111,70549644803946.27,1716.0949507364714,888959050673058.8,7,0.14285714285714285,0.14285714285714285,0.00535396800029651,0.001,18.2426403999998,1814.8248879999992,9,0.0,772.9362562605246,24876.135753507057,535.396800029651,21942.080849701048,302.9092843262172,0.002551708700359928,0.0010000000663553349
