iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,mu,Sigma,step_time,cum_time,no_improvement_count,relative_change_pct,g_prime_norm,G_prime_norm,g_norm,G_norm,lambda,delta_mu_norm,delta_Sigma_norm
-1,2746.394513962531,1.5272250819979991e+19,4.888566988526295e+19,2746.394513962531,2.0767073234146814e+20,115,0.008695652173913044,0.008695652173913044,0.11322645290581163,0.25,0.0,0.0,0,0.0,,,,,,,
0,1333.06861439231,9.545156762544404e+18,3.934839845092815e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,211.5766969000033,1480.8581599000026,0,51.461139045572054,625024875.3594828,192093475.78786266,345181.09783408116,6774585.022496175,2261376964.8283763,0.06909782016450738,0.25
1,1333.06861439231,6.941932190941387e+18,3.3824624137153126e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,21.130357000001823,1501.9959448000009,1,0.0,1444.1675960463895,37301.896029383875,6302.546025785301,177962.1060511242,493.3813837420698,0.0029270816524607697,0.0009999999728319499
2,1333.06861439231,5.454375292882518e+18,3.0117328766601556e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.0017389381795792323,34.66771329999756,1536.6676806000032,2,0.0,9397.751723150199,252690.88160978537,3144.7814168896643,21246.32143528856,3286.5177918644235,0.002859486033024124,0.0010000000006020863
3,1333.06861439231,4.491838476491485e+18,2.7410012561873744e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,38.802176899996994,1575.4737800000003,3,0.0,1504.9245475764476,17989.76510790057,10005.06484341268,164427.01257296736,542.9378204738599,0.00482001926267445,0.0017389380905606048
4,1333.06861439231,3.818062705017763e+18,2.5321630841839022e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,44.991896200001065,1620.4694213999974,4,0.0,15391.232268446813,259810.76519080927,2754.810529236698,38189.694217437085,4312.166897626259,0.00356925708902492,0.0010000000004463095
5,1333.06861439231,3.320054526102402e+18,2.3647527951418446e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.02641730896749582,16.200809599999047,1636.6739294,5,0.0,0.0,0.0,4735.863757311041,48106.801545504626,0.001,0.0,0.0
6,1333.06861439231,2.936971311552125e+18,2.226672319990384e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.0011499286335518969,33.180131999994046,1669.858705999999,6,0.0,1529.7215855985514,5621.1291251264665,1914.2220978367868,41588.26145737313,2301.2973532394844,0.01756015045337062,0.02641730794638646
7,1333.06861439231,2.633146693115698e+18,2.1102525949867336e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,13.120795199996792,1682.9830939000021,7,0.0,8546.760879230233,167160.37277340595,2674.825627383041,21363.34882632058,2809.792567018025,0.003497825844682721,0.0011499286347760776
8,1333.06861439231,2.3862891906361016e+18,2.010366243915002e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,25.26352929999848,1708.2503598999974,8,0.0,7137.27154873569,35772.380976898035,4927.184271262627,129919.82160106441,1635.5500764020685,0.004363835538678726,0.0010000000085460497
9,1333.06861439231,2.181750117153008e+18,1.9234381902592344e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,0.00045929999760119244,1708.254480800002,9,0.0,1282.3964199082784,36002.48491635174,4296.599569302919,57825.53997511707,460.2670346398716,0.0027862008863698147,0.0009999999698262253
10,1333.06861439231,2.009506686851455e+18,1.8468895170746855e+19,1333.06861439231,2.0767073234146814e+20,2,0.5,0.5,0.0,0.001,0.00044640000123763457,1708.2608937999976,10,0.0,3680.871957438834,16130.291915330472,525.1866637450202,47928.662293057154,838.728993471992,0.004388630876056468,0.0009999999630418905
