individual_id,T,alpha,eta,fitness
0,11,0.09090909090909091,0.09090909090909091,1679.3090664465396
1,11,0.09090909090909091,0.09090909090909091,1679.3090664465396
2,11,0.09090909090909091,0.09090909090909091,1679.3090664465396
3,11,0.09090909090909091,0.09090909090909091,1679.3090664465396
4,13,0.07692307692307693,0.07692307692307693,1684.905260661318
5,13,0.07692307692307693,0.07692307692307693,1684.905260661318
6,13,0.07692307692307693,0.07692307692307693,1684.905260661318
7,11,0.09090909090909091,0.09090909090909091,1679.3090664465396
8,14,0.07142857142857142,0.07142857142857142,1726.0783244324184
9,11,0.09090909090909091,0.09090909090909091,1679.3090664465396
10,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
11,13,0.07692307692307693,0.07692307692307693,1684.905260661318
12,13,0.07692307692307693,0.07692307692307693,1684.905260661318
13,13,0.07692307692307693,0.07692307692307693,1684.905260661318
14,13,0.07692307692307693,0.07692307692307693,1684.905260661318
15,13,0.07692307692307693,0.07692307692307693,1684.905260661318
16,13,0.07692307692307693,0.07692307692307693,1684.905260661318
17,11,0.09090909090909091,0.09090909090909091,1679.3090664465396
18,10,0.1,0.1,1712.357383931367
19,13,0.07692307692307693,0.07692307692307693,1684.905260661318
