individual_id,T,alpha,eta,fitness
0,13,0.07692307692307693,0.07692307692307693,1684.905260661318
1,10,0.1,0.1,1712.357383931367
2,10,0.1,0.1,1712.357383931367
3,10,0.1,0.1,1712.357383931367
4,10,0.1,0.1,1712.357383931367
5,10,0.1,0.1,1712.357383931367
6,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
7,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
8,10,0.1,0.1,1712.357383931367
9,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
10,5,0.2,0.2,1727.2147063446134
11,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
12,13,0.07692307692307693,0.07692307692307693,1684.905260661318
13,10,0.1,0.1,1712.357383931367
14,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
15,10,0.1,0.1,1712.357383931367
16,14,0.07142857142857142,0.07142857142857142,1726.0783244324184
17,13,0.07692307692307693,0.07692307692307693,1684.905260661318
18,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
19,9,0.1111111111111111,0.1111111111111111,1716.4331652420015
