T,fitness
733,1.899014373278851e+29
811,3.2140027652679466e+34
133,17596.84016895162
355,5675312671.099079
777,1.4534166025318867e+32
115,11155.006910088456
452,42070651498520.56
940,9.366372279126333e+43
879,2.364587145324852e+39
345,2141495642.3606243
576,6.0750952805377565e+19
153,30624.240269656544
950,6.270839747307367e+44
602,1.63509237014307e+21
162,40949.866563008596
238,1318304.3637626334
422,1834641339214.3015
511,2.4617136347423496e+16
660,4.478873822395171e+24
285,21912970.08900356
2,2185.4059981328724
100,7536.742848650936
2,2185.4059981328724
2,2185.4059981328724
820,1.6503600625725218e+35
115,11155.006910088456
163,41358.98802522979
154,30850.41770430683
212,337341.2897180509
138,17624.666933585977
136,17319.981415734845
178,76354.48131765731
6,2222.6825193882864
29,2683.2865215843435
24,2595.2942456761234
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
57,3963.868353879805
111,9643.73733560841
37,3022.1817181443294
10,2394.656386843326
30,2618.2946651002408
6,2222.6825193882864
2,2185.4059981328724
7,2309.9628028690167
2,2185.4059981328724
2,2185.4059981328724
6,2222.6825193882864
2,2185.4059981328724
12,2353.545400737631
2,2185.4059981328724
57,3963.868353879805
2,2185.4059981328724
25,2756.2306013666966
3,2271.5281854693335
37,3022.1817181443294
44,2918.764915201736
2,2185.4059981328724
17,2477.8290900950515
26,2763.0602169515582
2,2185.4059981328724
18,2401.6081317698654
2,2185.4059981328724
50,3315.327555426052
2,2185.4059981328724
18,2401.6081317698654
6,2222.6825193882864
2,2185.4059981328724
25,2756.2306013666966
29,2683.2865215843435
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
18,2401.6081317698654
28,2807.865854047627
2,2185.4059981328724
6,2222.6825193882864
2,2185.4059981328724
2,2185.4059981328724
162,40949.866563008596
2,2185.4059981328724
8,2482.0656914861975
2,2185.4059981328724
23,2540.3231914769494
32,2799.0767505777653
8,2482.0656914861975
2,2185.4059981328724
15,2377.371164623158
6,2222.6825193882864
5,2189.984138472389
3,2271.5281854693335
26,2763.0602169515582
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
41,3051.7866436815757
7,2309.9628028690167
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
6,2222.6825193882864
9,2454.112269505025
10,2394.656386843326
24,2595.2942456761234
18,2401.6081317698654
48,3273.302061687898
2,2185.4059981328724
2,2185.4059981328724
72,4455.135760155668
41,3051.7866436815757
32,2799.0767505777653
2,2185.4059981328724
6,2222.6825193882864
41,3051.7866436815757
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
17,2477.8290900950515
5,2189.984138472389
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
6,2222.6825193882864
7,2309.9628028690167
2,2185.4059981328724
27,2723.7726116169847
58,4088.393440938218
55,3757.418373968851
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
6,2222.6825193882864
34,2854.4868169342412
2,2185.4059981328724
6,2222.6825193882864
2,2185.4059981328724
4,2132.1918330777557
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
11,2327.239901108763
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
41,3051.7866436815757
2,2185.4059981328724
2,2185.4059981328724
11,2327.239901108763
2,2185.4059981328724
35,2836.9981280422267
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
8,2482.0656914861975
59,3942.521109868781
2,2185.4059981328724
29,2683.2865215843435
26,2763.0602169515582
24,2595.2942456761234
2,2185.4059981328724
16,2451.3601394084208
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
6,2222.6825193882864
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
16,2451.3601394084208
41,3051.7866436815757
2,2185.4059981328724
85,5323.383924714663
2,2185.4059981328724
2,2185.4059981328724
50,3315.327555426052
2,2185.4059981328724
7,2309.9628028690167
27,2723.7726116169847
2,2185.4059981328724
2,2185.4059981328724
7,2309.9628028690167
2,2185.4059981328724
2,2185.4059981328724
46,3595.474217978233
58,4088.393440938218
16,2451.3601394084208
2,2185.4059981328724
2,2185.4059981328724
6,2222.6825193882864
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
23,2540.3231914769494
2,2185.4059981328724
2,2185.4059981328724
3,2271.5281854693335
54,3388.8830482796143
2,2185.4059981328724
6,2222.6825193882864
2,2185.4059981328724
6,2222.6825193882864
12,2353.545400737631
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
32,2799.0767505777653
2,2185.4059981328724
4,2132.1918330777557
4,2132.1918330777557
2,2185.4059981328724
4,2132.1918330777557
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
9,2454.112269505025
118,11631.383190592749
2,2185.4059981328724
2,2185.4059981328724
3,2271.5281854693335
2,2185.4059981328724
2,2185.4059981328724
26,2763.0602169515582
4,2132.1918330777557
2,2185.4059981328724
25,2756.2306013666966
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
92,6213.6971782792725
4,2132.1918330777557
6,2222.6825193882864
5,2189.984138472389
4,2132.1918330777557
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
58,4088.393440938218
2,2185.4059981328724
45,3085.1560453849374
2,2185.4059981328724
2,2185.4059981328724
2,2185.4059981328724
