iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
1,115,2584.7718127072626,264,16203.499891599979,transformer,0.95,False,27.485198999987915,27.485549599980004,1
2,92,2204.5783764743187,92,2204.5783764743187,transformer,0.9025,True,3.6800047382712364e-05,27.486527299974114,0
3,92,2204.5783764743187,756,97819810734.85533,exploration,0.8573749999999999,False,81.09920799999963,108.58606559992768,1
4,92,2204.5783764743187,760,122200741206.75027,exploration,0.8145062499999999,False,80.6265274999896,189.2129874000093,2
5,92,2204.5783764743187,286,24574.22351193446,transformer,0.7737809374999999,False,27.804648200049996,217.0181178000057,3
6,92,2204.5783764743187,548,32079937.25538438,transformer,0.7350918906249998,False,55.46464959997684,272.4831420999253,4
7,92,2204.5783764743187,225,8380.139916711882,exploration,0.6983372960937497,False,22.15892509999685,294.64251409994904,5
8,92,2204.5783764743187,618,402631923.4490905,exploration,0.6634204312890623,False,64.0333184999181,358.6762522999197,6
9,92,2204.5783764743187,205,6473.532227442362,exploration,0.6302494097246091,False,20.111312100081705,378.7879920999985,7
10,92,2204.5783764743187,92,2204.5783764743187,transformer,0.5987369392383786,False,3.460003063082695e-05,378.7884069000138,8
11,63,1923.1254325425123,63,1923.1254325425123,transformer,0.5688000922764596,True,2.3700064048171043e-05,378.7888772999868,0
12,63,1923.1254325425123,536,21943600.506835524,transformer,0.5403600876626365,False,54.11660870001651,432.9060295999516,1
13,63,1923.1254325425123,322,50875.17747237415,transformer,0.5133420832795047,False,32.84049390000291,465.7469617999159,2
14,2,1871.2338458807023,2,1871.2338458807023,transformer,0.48767497911552943,True,3.790005575865507e-05,465.7473966999678,0
15,2,1871.2338458807023,222,8747.736048884244,exploration,0.46329123015975293,False,22.938763799960725,488.68654309993144,1
16,2,1871.2338458807023,254,14082.019214823073,transformer,0.44012666865176525,False,26.059383900021203,514.7463219999336,2
17,2,1871.2338458807023,391,276052.8020664096,exploration,0.41812033521917696,False,40.1268635999877,554.8736139999237,3
18,2,1871.2338458807023,869,16509594892609.13,exploration,0.3972143184582181,False,96.61110630002804,651.485141800018,4
19,2,1871.2338458807023,2,1871.2338458807023,transformer,0.37735360253530714,False,5.3600058890879154e-05,651.4857229999034,5
20,2,1871.2338458807023,2,1871.2338458807023,transformer,0.35848592240854177,False,1.6700010746717453e-05,651.4860509999562,6
