iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
0,115,2735.4952793623074,115,2735.4952793623074,initial,1.0,True,0.0005227000219747424,0.0005240000318735838,0
1,115,2735.4952793623074,425,9543019.73691725,exploration,0.95,False,44.62025070004165,44.620778499986045,1
2,2,1389.077655845198,2,1389.077655845198,transformer,0.9025,True,4.469999112188816e-05,44.621784599963576,0
3,2,1389.077655845198,2,1389.077655845198,transformer,0.8573749999999999,False,2.0400038920342922e-05,44.622020500013605,1
4,2,1389.077655845198,201,9767.734582704468,transformer,0.8145062499999999,False,21.20702179998625,65.82998499996029,2
5,2,1389.077655845198,661,1058810208403.9321,transformer,0.7737809374999999,False,73.52430110005662,139.35468240000773,3
6,2,1389.077655845198,753,301030959322705.7,exploration,0.7350918906249998,False,83.51932209997904,222.8744304999709,4
7,2,1389.077655845198,561,4740077002.69948,exploration,0.6983372960937497,False,60.72111699997913,283.59600110002793,5
8,2,1389.077655845198,2,1389.077655845198,transformer,0.6634204312890623,False,5.789997521787882e-05,283.5965874999529,6
9,2,1389.077655845198,382,1650732.5087768887,exploration,0.6302494097246091,False,39.87034260004293,323.46768240001984,7
10,2,1389.077655845198,72,1914.1032931815525,transformer,0.5987369392383786,False,4.1100080125033855e-05,323.46817240002565,8
11,2,1389.077655845198,104,2485.212621088083,transformer,0.5688000922764596,False,2.619996666908264e-05,323.4687421999406,9
12,2,1389.077655845198,141,3638.112772967375,transformer,0.5403600876626365,False,14.861152000026777,338.3305408000015,10
13,2,1389.077655845198,2,1389.077655845198,transformer,0.5133420832795047,False,4.67000063508749e-05,338.3310049000429,11
14,2,1389.077655845198,410,4778622.639286119,exploration,0.48767497911552943,False,42.93438230000902,381.26576820004266,12
15,2,1389.077655845198,612,66711920108.10576,transformer,0.46329123015975293,False,67.8463638999965,449.11257090000436,13
16,2,1389.077655845198,412,4874770.317043743,transformer,0.44012666865176525,False,39.34596639999654,488.45897359994706,14
17,2,1389.077655845198,2,1389.077655845198,transformer,0.41812033521917696,False,5.100003909319639e-05,488.45942279999144,15
18,2,1389.077655845198,790,2925025588422413.5,exploration,0.3972143184582181,False,81.23303769994527,569.6928287999472,16
19,2,1389.077655845198,2,1389.077655845198,transformer,0.37735360253530714,False,4.2499974370002747e-05,569.6933675999753,17
20,2,1389.077655845198,612,66711920108.10576,exploration,0.35848592240854177,False,1.3699987903237343e-05,569.6938364999369,18
