iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
0,115,2621.0336264019356,115,2621.0336264019356,initial,1.0,True,0.0004120999947190285,0.0004130000015720725,0
1,2,1852.8517395665883,2,1852.8517395665883,transformer,0.95,True,4.1499966755509377e-05,0.000457199988886714,0
2,2,1852.8517395665883,553,35324688.88443596,transformer,0.9025,False,56.844186099944636,56.84523129998706,1
3,2,1852.8517395665883,439,944007.2460509423,transformer,0.8573749999999999,False,44.01205349992961,100.85770870000124,2
4,2,1852.8517395665883,354,110189.80396300099,transformer,0.8145062499999999,False,35.00197079998907,135.86017740005627,3
5,2,1852.8517395665883,430,793533.5290092214,exploration,0.7737809374999999,False,42.5634608999826,178.42408060003072,4
6,2,1852.8517395665883,2,1852.8517395665883,transformer,0.7350918906249998,False,3.930006641894579e-05,178.42452500003856,5
7,2,1852.8517395665883,967,1979081513551669.5,exploration,0.6983372960937497,False,106.08060860005207,284.5054151000222,6
8,2,1852.8517395665883,671,2994513240.9199967,transformer,0.6634204312890623,False,69.65510079998057,354.1610332999844,7
9,2,1852.8517395665883,2,1852.8517395665883,transformer,0.6302494097246091,False,5.350005812942982e-05,354.1615448000375,8
10,2,1852.8517395665883,249,13053.962567424454,transformer,0.5987369392383786,False,24.909906600019895,379.0718944000546,9
11,2,1852.8517395665883,2,1852.8517395665883,transformer,0.5688000922764596,False,3.4800032153725624e-05,379.07242640003096,10
12,2,1852.8517395665883,528,15437797.29508022,exploration,0.5403600876626365,False,53.200980599969625,432.27377630001865,11
13,2,1852.8517395665883,2,1852.8517395665883,transformer,0.5133420832795047,False,4.2499974370002747e-05,432.2741765000392,12
14,2,1852.8517395665883,385,242870.45469997212,exploration,0.48767497911552943,False,37.52437220001593,469.798943300033,13
15,2,1852.8517395665883,2,1852.8517395665883,transformer,0.46329123015975293,False,4.000007174909115e-05,469.7993766000727,14
16,2,1852.8517395665883,333,68741.71640249368,transformer,0.44012666865176525,False,32.73401099990588,502.53383089997806,15
17,2,1852.8517395665883,2,1852.8517395665883,transformer,0.41812033521917696,False,4.270009230822325e-05,502.5342867000727,16
18,2,1852.8517395665883,862,11493447598352.617,exploration,0.3972143184582181,False,92.31980739999563,594.8544281000504,17
19,2,1852.8517395665883,2,1852.8517395665883,transformer,0.37735360253530714,False,3.799994010478258e-05,594.8549130000174,18
20,2,1852.8517395665883,102,2381.7296964213383,exploration,0.35848592240854177,False,1.2299977242946625e-05,594.8552625000011,19
