iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std
0.0,5364.278478203431,3548.615829151338,115.0,0.0,0.0,0.0
1.0,1742.9102990878325,360.54441077853403,4.225,4.45,247.4965909775004,23.02943472902309
2.0,1695.7719005359374,345.5913864559681,5.025,4.5770259630754415,33.78832331500057,2.0320556006027237
3.0,1690.8494028337714,342.096645449043,4.875,3.988629672790727,33.249152455000925,8.106081462216178
4.0,1689.8003729687534,342.1070195546008,5.275,4.771006183186101,31.34561758749978,7.921984600743034
5.0,1689.3569482618236,341.74938121308054,4.7,3.544949458972112,31.33132971250043,7.9237677155784825
6.0,1687.8028822981582,340.2738080003102,4.8,3.8970073988467955,30.233795117500495,9.170834182001451
7.0,1687.410148813619,340.3264437273858,4.8,3.761205480516409,30.554185079998934,17.046177900672138
8.0,1687.1462549781334,340.6722959415295,4.825,3.7375348381876883,31.079125162499622,11.544240250535609
9.0,1687.1462549781334,340.6722959415295,4.825,3.7375348381876883,15.466782280000281,4.297149774715374
10.0,1687.1462549781334,340.6722959415295,4.825,3.7375348381876883,16.99692617999822,4.632339905209152
11.0,1685.0529070743103,338.787474818462,4.875,3.722342452452936,15.752183127499803,3.279551587220813
12.0,1685.0529070743103,338.787474818462,4.875,3.722342452452936,19.97886499500005,5.450419645549131
13.0,1685.0529070743103,338.787474818462,4.875,3.722342452452936,26.524843174999795,11.459366655110939
14.0,1685.0529070743103,338.787474818462,4.875,3.722342452452936,17.357661262500688,2.347657773477942
15.0,1684.9105103129411,338.7901281039646,4.9,3.7709415269929605,15.330561579998948,0.8911918234222835
16.0,1684.9105103129411,338.7901281039646,4.9,3.7709415269929605,13.936329712500264,2.867818605348729
17.0,1684.9105103129411,338.7901281039646,4.9,3.7709415269929605,18.25391780499958,1.35789117298022
18.0,1684.9105103129411,338.7901281039646,4.9,3.7709415269929605,13.851205897499721,2.7197543118271486
19.0,1684.9105103129411,338.7901281039646,4.9,3.7709415269929605,9.874853575000042,4.088819650914588
20.0,1684.9105103129411,338.7901281039646,4.9,3.7709415269929605,9.632651180000448,1.386097849493071
