iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std
0.0,5364.278478203431,3548.615829151338,115.0,0.0,0.0,0.0
1.0,4910.807362059133,3137.8147723089146,109.5,0.0,282.4586085300107,44.12207704696173
2.0,4337.85646184961,2605.595587586848,101.5,1.1401754250991407,90.60742282248975,13.419446650038672
3.0,3844.4955170072994,2091.201009846685,94.425,1.2841988423397126,47.24726714750868,6.181047009921097
4.0,3357.3003590825847,1633.1488748314778,83.35,0.2645751311064558,33.02841489749553,5.699684795035417
5.0,3252.6234639015724,1526.9211428396463,80.95,0.45092497528228404,24.026065287491654,3.674409972271926
6.0,2976.2127533187972,1247.0496273952986,71.2,3.3595634637057663,20.06123293249693,2.2084245960157673
7.0,2788.9030786569974,1096.012675656617,63.375,7.891926254090319,20.966266407509103,3.5332043021184654
8.0,2732.2751416568635,1048.8189206028117,60.449999999999996,7.889866919029747,11.193928195006446,2.263464162210911
9.0,2633.9549528197367,928.5379934442748,57.0,7.133489094872627,17.28320096000389,2.565804784870835
10.0,2318.8059001409056,671.095688193412,44.575,10.67188674352697,16.721037612491635,3.6255182294295505
11.0,2224.495441274154,656.2905230618479,37.375,9.424568955660519,19.513111047496203,4.647123307380296
12.0,2197.2429239722287,628.6242750925542,36.55,8.706128109938806,9.606482634993153,4.093773324082919
13.0,2117.1733148705193,596.215221856845,33.675000000000004,9.83882614949568,7.060406252500252,2.13221060222097
14.0,2004.3523800397638,492.6947406063238,27.5,11.632999040087071,6.698517287496361,0.7569979554217688
15.0,1921.4088704858116,435.57657604711557,23.1,12.114179020195028,11.80013358500437,2.727326110612618
16.0,1867.6786360546048,376.3549930856541,21.175,13.425938825025733,8.73421583250747,0.6606652756041503
17.0,1845.596275714589,362.8853040630379,19.925,14.312552765550478,4.312299777494627,1.5992224772354835
18.0,1818.540584710488,347.65788259817197,18.175,15.749576713888743,5.898751972490572,1.903846462095285
19.0,1751.7166546278927,320.28041526526033,12.9,12.341528808593097,6.451966872505727,1.577940410676927
20.0,1740.9075871340926,322.2173315871676,12.225,12.465786510819658,3.1171105724934023,1.1267908571492333
