iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,step_time,cum_time,no_improvement_count,relative_change_pct
-1,2755.369247236001,7312.3587530264285,6971.2819912089535,2755.369247236001,21177.75614025388,115,0.008695652173913044,0.008695652173913044,0.0,0.0,0,0.0
0,2755.369247236001,3159.8587653796785,302.1818738573377,2755.369247236001,3474.7555625900086,115,0.008695652173913044,0.008695652173913044,157.566286199959,157.5671025000047,1,0.0
1,2607.976499376658,2747.3134626583933,77.92561582017123,2607.976499376658,2829.150018898253,111,0.009009009009009009,0.009009009009009009,69.09419800003525,226.6637342000613,0,5.3492920416092025
2,2607.976499376658,2651.0632930008787,53.473655660814565,2607.976499376658,2733.547361864883,111,0.009009009009009009,0.009009009009009009,22.487139300093986,249.15255870006513,1,0.0
3,2511.878949552306,2572.608381165168,40.2084888834571,2511.878949552306,2607.976499376658,106,0.009433962264150943,0.009433962264150943,42.6087480999995,291.76301250001416,0,3.684755205705289
4,2503.428435163441,2510.876263762606,3.9546897677684187,2503.428435163441,2515.316034992672,104,0.009615384615384616,0.009615384615384616,21.988158200052567,313.75276820000727,0,0.3364220393809651
5,2402.0863783130926,2464.581715301075,51.12044199032138,2402.0863783130926,2511.878949552306,99,0.010101010101010102,0.010101010101010102,10.594435599981807,324.3488475000486,0,4.048130772459333
6,2289.778906390662,2365.528116579976,42.19605340456164,2289.778906390662,2402.0863783130926,95,0.010526315789473684,0.010526315789473684,0.00025109993293881416,324.3507522,0,4.675413546173157
7,2260.2180710231896,2279.8611125951993,11.323377987255661,2260.2180710231896,2289.778906390662,91,0.01098901098901099,0.01098901098901099,9.586229800013825,333.93841030006297,0,1.2909908150944007
8,2147.8051493182948,2195.5501948739084,29.326013314196164,2147.8051493182948,2218.4811086206537,87,0.011494252873563218,0.011494252873563218,18.856797299929895,352.7970084999688,0,4.9735431791325375
9,2115.4162883228014,2161.411987044555,27.42433527069714,2115.4162883228014,2194.8334992031055,83,0.012048192771084338,0.012048192771084338,17.506945100030862,370.30558180005755,0,1.5079981070803123
10,2103.974462229258,2111.579068184947,4.8428892499658796,2103.974462229258,2115.4162883228014,84,0.011904761904761904,0.011904761904761904,25.941855299985036,396.2488781999564,0,0.5408782260353668
11,2020.3006167364044,2028.1307030123746,9.589858009048156,2020.3006167364044,2039.87583242633,79,0.012658227848101266,0.012658227848101266,35.51179769996088,431.7621420000214,0,3.97694206821299
12,2005.9468424372344,2014.5591070167363,7.031884583208356,2005.9468424372344,2020.3006167364044,75,0.013333333333333334,0.013333333333333334,17.079240099992603,448.84288160002325,0,0.7104771527693303
13,1981.8455093999166,2006.868085549439,14.061952091226965,1981.8455093999166,2020.3006167364044,73,0.0136986301369863,0.0136986301369863,7.9506784999975935,456.7951382000465,0,1.2014941038035956
14,1939.0122029503514,1979.819185089896,25.362141534578296,1939.0122029503514,2005.9468424372344,70,0.014285714285714285,0.014285714285714285,24.242703500087373,481.03949650004506,0,2.1612838259292357
15,1905.8105425101649,1937.8383359171926,19.19643947107393,1905.8105425101649,1966.344528224745,66,0.015151515151515152,0.015151515151515152,7.779437500052154,488.82045440003276,0,1.7122976528805605
16,1905.8105425101649,1924.4170880531026,12.890334238846364,1905.8105425101649,1939.0122029503514,66,0.015151515151515152,0.015151515151515152,14.771106699947268,503.5931070999941,1,0.0
17,1860.1010346746089,1888.7499794569053,20.984160890551628,1860.1010346746089,1905.8105425101649,61,0.01639344262295082,0.01639344262295082,0.00037599995266646147,503.5952477999963,0,2.3984287428356588
18,1829.9673401397936,1855.0423492625728,12.67687851999705,1829.9673401397936,1864.9413021492428,58,0.017241379310344827,0.017241379310344827,14.784878500038758,518.3816834000172,0,1.6200031059112132
19,1774.5480148753581,1816.7220309350528,26.422517833808243,1774.5480148753581,1849.445838794568,56,0.017857142857142856,0.017857142857142856,14.017830900033005,532.4012122000568,0,3.028432477937113
