iter,best_perplexity,pop_mean,pop_std,pop_min,pop_max,T_best,alpha_best,eta_best,step_time,cum_time,no_improvement_count,relative_change_pct
-1,2797.679829040203,250788.03716905607,472393.5769670781,2797.679829040203,1195132.673038032,33,0.030303030303030304,0.030303030303030304,0.0,0.0,0,0.0
0,2732.465682781476,2787.1189287880384,52.65291528076288,2732.465682781476,2881.222109326217,29,0.034482758620689655,0.034482758620689655,29.10868816700531,29.109048041995266,0,2.331008201217217
1,2728.873790248254,2731.7473042748315,1.436757013288843,2728.873790248254,2732.465682781476,24,0.041666666666666664,0.041666666666666664,5.349068832991179,34.45912749999843,1,0.13145242979102267
2,2599.6740631350967,2681.3936847441596,44.30355258175705,2599.6740631350967,2728.873790248254,22,0.045454545454545456,0.045454545454545456,7.941354665992549,42.40137445900473,0,4.734543883079456
3,2599.6740631350967,2650.1272189197607,41.19482919519206,2599.6740631350967,2683.7626561095367,22,0.045454545454545456,0.045454545454545456,2.540127375003067,44.9423733750009,1,0.0
4,2474.212890331914,2573.5419519469747,49.705338325813614,2474.212890331914,2599.6740631350967,19,0.05263157894736842,0.05263157894736842,5.0965319169918075,50.03986679199443,0,4.826034716516805
5,2346.8683909499664,2413.7893267197214,43.6654312581223,2346.8683909499664,2461.885684424168,15,0.06666666666666667,0.06666666666666667,9.966788375008036,60.007571541995276,0,5.1468691267251625
6,2260.625566234067,2311.354406058416,54.02665829911122,2260.625566234067,2399.153436900152,12,0.08333333333333333,0.08333333333333333,9.918145500007086,69.92654129199218,0,3.6748044776805813
7,2222.4562313151255,2256.6449372169695,21.558596511890364,2222.4562313151255,2289.4990699738282,10,0.1,0.1,5.047548749993439,74.97503862499434,0,1.6884412655089494
8,2222.4562313151255,2238.2869049929072,12.046018132915481,2222.4562313151255,2250.0182523277613,10,0.1,0.1,4.934828917001141,79.91084508399945,1,0.0
9,2151.58885204274,2191.7126591105075,27.32941741071947,2151.58885204274,2222.4562313151255,3,0.3333333333333333,0.3333333333333333,2.542148915992584,82.45391974999802,0,3.1886962844910527
10,2134.829088934426,2150.4259602749817,16.26400006755123,2134.829088934426,2179.293919420578,7,0.14285714285714285,0.14285714285714285,2.4799516670027515,84.93484054200235,1,0.7789482220268119
11,2134.829088934426,2141.532994177752,8.21057356505822,2134.829088934426,2151.58885204274,7,0.14285714285714285,0.14285714285714285,6.44999963697046e-05,84.93575712500024,2,0.0
12,2134.829088934426,2138.181041556089,6.703905243325607,2134.829088934426,2151.58885204274,7,0.14285714285714285,0.14285714285714285,5.820899968966842e-05,84.93657354199968,3,0.0
13,2134.829088934426,2134.829088934426,0.0,2134.829088934426,2134.829088934426,7,0.14285714285714285,0.14285714285714285,6.712500180583447e-05,84.9372324589931,4,0.0
14,2134.829088934426,2134.829088934426,0.0,2134.829088934426,2134.829088934426,7,0.14285714285714285,0.14285714285714285,5.3207986638881266e-05,84.93791958400107,5,0.0
