individual_id,T,alpha,eta,fitness
0,104,0.009615384615384616,0.009615384615384616,7620.241313302012
1,110,0.00909090909090909,0.00909090909090909,9201.112699165102
2,115,0.008695652173913044,0.008695652173913044,10211.298566857342
3,115,0.008695652173913044,0.008695652173913044,10211.298566857342
4,115,0.008695652173913044,0.008695652173913044,10211.298566857342
5,110,0.00909090909090909,0.00909090909090909,9201.112699165102
6,115,0.008695652173913044,0.008695652173913044,10211.298566857342
7,110,0.00909090909090909,0.00909090909090909,9201.112699165102
8,115,0.008695652173913044,0.008695652173913044,10211.298566857342
9,110,0.00909090909090909,0.00909090909090909,9201.112699165102
10,102,0.00980392156862745,0.00980392156862745,7127.898636447436
11,115,0.008695652173913044,0.008695652173913044,10211.298566857342
12,104,0.009615384615384616,0.009615384615384616,7620.241313302012
13,115,0.008695652173913044,0.008695652173913044,10211.298566857342
14,150,0.006666666666666667,0.006666666666666667,28707.220898016298
15,244,0.004098360655737705,0.004098360655737705,1785767.6267779097
16,155,0.0064516129032258064,0.0064516129032258064,36189.46384549914
17,136,0.007352941176470588,0.007352941176470588,17834.823099258294
18,101,0.009900990099009901,0.009900990099009901,8180.738255109261
19,115,0.008695652173913044,0.008695652173913044,10211.298566857342
