individual_id,T,alpha,eta,fitness
0,115,0.008695652173913044,0.008695652173913044,10211.298566857342
1,133,0.007518796992481203,0.007518796992481203,14938.128015629922
2,153,0.006535947712418301,0.006535947712418301,29429.536625795394
3,162,0.006172839506172839,0.006172839506172839,41374.72347937665
4,238,0.004201680672268907,0.004201680672268907,1306552.8893104626
5,349,0.0028653295128939827,0.0028653295128939827,3099054898.7382174
6,153,0.006535947712418301,0.006535947712418301,29429.536625795394
7,189,0.005291005291005291,0.005291005291005291,120774.31011135923
8,258,0.003875968992248062,0.003875968992248062,4133669.2111463207
9,157,0.006369426751592357,0.006369426751592357,35902.822166476435
10,281,0.0035587188612099642,0.0035587188612099642,18595663.143738672
11,115,0.008695652173913044,0.008695652173913044,10211.298566857342
12,351,0.002849002849002849,0.002849002849002849,3412075586.828542
13,110,0.00909090909090909,0.00909090909090909,9201.112699165102
14,247,0.004048582995951417,0.004048582995951417,2177883.575540643
15,275,0.0036363636363636364,0.0036363636363636364,11054049.535237495
16,125,0.008,0.008,12721.74915671684
17,147,0.006802721088435374,0.006802721088435374,23248.984736456277
18,104,0.009615384615384616,0.009615384615384616,7620.241313302012
19,115,0.008695652173913044,0.008695652173913044,10211.298566857342
