iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std
0.0,5364.278478203431,3548.615829151338,115.0,0.0,2.5445140174968404,5.088188915039568
1.0,3924.290313252603,2254.559387778139,70.325,1.1500000000000046,22.934941127506317,4.594412723146598
2.0,3083.0736418054585,1508.1447725667383,47.575,5.649999999999999,14.330029307500808,5.764926831777682
3.0,2737.5996514613216,1162.3506657748082,40.05,1.8999999999999984,19.122953872496147,3.4260620721195285
4.0,2737.5996514613216,1162.3506657748082,40.05,1.8999999999999984,30.53683994250023,4.219798949581993
5.0,2322.893693772646,805.6163534285395,25.3,4.2,23.513733582489657,6.099246277377759
6.0,1935.092641898962,484.11936342173806,13.225,2.6500000000000004,29.494788462511497,4.40100296108575
7.0,1935.092641898962,484.11936342173806,13.225,2.6500000000000004,25.828226349994654,6.405927519373542
8.0,1922.2231619802128,490.9710245882977,11.6,1.1999999999999995,28.67132246249821,6.115909348124543
9.0,1922.2231619802128,490.9710245882977,11.6,1.1999999999999995,9.69997306499863,1.554497173426754
10.0,1915.1868383819176,492.3705000551946,10.875,0.2499999999999998,14.65263497250853,1.889082502254252
11.0,1823.0929850440416,402.45526858797894,8.7,1.2000000000000006,10.883880585001316,11.993210810899916
12.0,1823.0929850440416,402.45526858797894,8.7,1.2000000000000006,34.358812232495985,4.851987505109672
13.0,1821.7956953774965,402.4284012755494,7.175,1.8499999999999996,4.467130315009854,1.0640473467295797
14.0,1733.4040555346044,356.76453972566145,2.6,1.2000000000000002,17.102186322497438,4.272643439522784
15.0,1732.5838170314871,356.48404193058474,3.55,3.0999999999999996,22.03733802499191,3.4422384611904073
16.0,1732.5838170314871,356.48404193058474,3.55,3.0999999999999996,22.76242977498914,4.512597034156807
17.0,1732.5838170314871,356.48404193058474,3.55,3.0999999999999996,17.43680181998643,5.298489719809056
18.0,1729.2661477624572,355.42449428842536,3.9,3.8,38.92272463249683,6.842958781286056
19.0,1729.2661477624572,355.42449428842536,3.9,3.8,20.65976827500272,2.8442768545541193
20.0,1731.539313613432,356.1374704824332,4.15625,4.3125,20.967961940625536,3.2480148164961777
