individual_id,T,alpha,eta,fitness
0,105,0.009523809523809525,0.009523809523809525,2447.0473123074194
1,103,0.009708737864077669,0.009708737864077669,2479.2051400591167
2,109,0.009174311926605505,0.009174311926605505,2496.777687831134
3,109,0.009174311926605505,0.009174311926605505,2496.777687831134
4,109,0.009174311926605505,0.009174311926605505,2496.777687831134
