individual_id,T,alpha,eta,fitness
0,115,0.008695652173913044,0.008695652173913044,2733.9994155764457
1,133,0.007518796992481203,0.007518796992481203,3477.6918469593093
2,153,0.006535947712418301,0.006535947712418301,4448.8228020136685
3,162,0.006172839506172839,0.006172839506172839,4852.37681902554
4,238,0.004201680672268907,0.004201680672268907,21011.692950100245
5,361,0.002770083102493075,0.002770083102493075,803907.779435011
6,771,0.0012970168612191958,0.0012970168612191958,858493565438789.1
7,131,0.007633587786259542,0.007633587786259542,3250.959113153739
8,602,0.0016611295681063123,0.0016611295681063123,38648132137.73938
9,157,0.006369426751592357,0.006369426751592357,4667.639546805643
10,261,0.0038314176245210726,0.0038314176245210726,40232.56890964127
11,479,0.0020876826722338203,0.0020876826722338203,87634738.48733859
12,484,0.002066115702479339,0.002066115702479339,118051752.62819406
13,179,0.00558659217877095,0.00558659217877095,6664.251609093728
14,98,0.01020408163265306,0.01020408163265306,2335.790231377933
15,579,0.0017271157167530224,0.0017271157167530224,10904567655.60974
16,352,0.002840909090909091,0.002840909090909091,602297.6923308398
17,153,0.006535947712418301,0.006535947712418301,4448.8228020136685
18,133,0.007518796992481203,0.007518796992481203,3477.6918469593093
19,162,0.006172839506172839,0.006172839506172839,4852.37681902554
