individual_id,T,alpha,eta,fitness
0,21,0.047619047619047616,0.047619047619047616,1726.72233604733
1,28,0.03571428571428571,0.03571428571428571,1727.67483838541
2,24,0.041666666666666664,0.041666666666666664,1746.5774004957982
3,38,0.02631578947368421,0.02631578947368421,1782.7434614331032
4,37,0.02702702702702703,0.02702702702702703,1785.5362394399328
5,29,0.034482758620689655,0.034482758620689655,1749.479620266046
6,21,0.047619047619047616,0.047619047619047616,1726.72233604733
7,34,0.029411764705882353,0.029411764705882353,1763.5301725485142
8,21,0.047619047619047616,0.047619047619047616,1726.72233604733
9,24,0.041666666666666664,0.041666666666666664,1746.5774004957982
10,28,0.03571428571428571,0.03571428571428571,1727.67483838541
11,2,0.5,0.5,1856.1391048738153
12,53,0.018867924528301886,0.018867924528301886,1856.6556946300082
13,20,0.05,0.05,1725.3951423233368
14,60,0.016666666666666666,0.016666666666666666,1948.713265522517
15,60,0.016666666666666666,0.016666666666666666,1948.713265522517
16,2,0.5,0.5,1856.1391048738153
17,38,0.02631578947368421,0.02631578947368421,1782.7434614331032
18,37,0.02702702702702703,0.02702702702702703,1785.5362394399328
19,22,0.045454545454545456,0.045454545454545456,1727.9926097998732
