iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
0,115,2843.583033051245,115,2843.583033051245,initial,1.0,True,0.0005522000137716532,0.0005535000236704946,0
1,115,2843.583033051245,516,524481471.4338438,exploration,0.95,False,58.16356169991195,58.164120199973695,1
2,46,1715.243064459615,46,1715.243064459615,transformer,0.9025,True,8.697275700047612,66.86271590006072,0
3,46,1715.243064459615,149,4141.118586976219,transformer,0.8573749999999999,False,15.600251300027594,82.46339759998955,1
4,46,1715.243064459615,507,344838847.22130203,transformer,0.8145062499999999,False,51.13505600008648,133.59883170004468,2
5,2,1358.7797589850552,2,1358.7797589850552,transformer,0.7737809374999999,True,3.9199949242174625e-05,133.59936110000126,0
6,2,1358.7797589850552,163,5212.497347536563,transformer,0.7350918906249998,False,16.85348329995759,150.45311949995812,1
7,2,1358.7797589850552,135,3506.3463299611362,transformer,0.6983372960937497,False,3.559992182999849e-05,150.45356399996672,2
8,2,1358.7797589850552,8,1482.0236443160886,transformer,0.6634204312890623,False,5.171074699959718,155.62507950002328,3
9,2,1358.7797589850552,2,1358.7797589850552,transformer,0.6302494097246091,False,3.0099996365606785e-05,155.6253810999915,4
10,2,1358.7797589850552,2,1358.7797589850552,transformer,0.5987369392383786,False,1.4599994756281376e-05,155.6256934000412,5
11,2,1358.7797589850552,777,1131392056056737.0,transformer,0.5688000922764596,False,2.2900057956576347e-05,155.62627290003002,6
12,2,1358.7797589850552,2,1358.7797589850552,transformer,0.5403600876626365,False,2.6300083845853806e-05,155.62695119995624,7
13,2,1358.7797589850552,2,1358.7797589850552,transformer,0.5133420832795047,False,2.829998265951872e-05,155.62760060001165,8
14,2,1358.7797589850552,2,1358.7797589850552,transformer,0.48767497911552943,False,1.5700003132224083e-05,155.62799030006863,9
15,2,1358.7797589850552,226,16791.68173869402,transformer,0.46329123015975293,False,22.408506199950352,178.03709210001398,10
16,2,1358.7797589850552,2,1358.7797589850552,transformer,0.44012666865176525,False,3.5100034438073635e-05,178.0374892000109,11
17,2,1358.7797589850552,2,1358.7797589850552,transformer,0.41812033521917696,False,1.6000005416572094e-05,178.03798330004793,12
18,2,1358.7797589850552,2,1358.7797589850552,transformer,0.3972143184582181,False,2.8900103643536568e-05,178.03856670006644,13
19,2,1358.7797589850552,2,1358.7797589850552,transformer,0.37735360253530714,False,1.7200014553964138e-05,178.03899230004754,14
20,2,1358.7797589850552,2,1358.7797589850552,transformer,0.35848592240854177,False,2.6499968953430653e-05,178.0396317000268,15
