time,best_perplexity_mean,best_perplexity_std,num_runs
0.0,2791.9056785574994,51.88026611266609,10
10.0,2783.8570795032924,48.489555573034544,10
20.0,2775.808480449085,46.267148692299784,10
30.0,2767.7598813948775,45.38499925367376,10
40.0,2759.7112823406706,45.92041296735249,10
50.0,2751.662683286463,47.825804307131584,10
60.0,2743.6140842322557,50.94769718889673,10
70.0,2735.565485178048,55.07962600430945,10
80.0,2727.5254666133483,60.00482235066819,10
90.0,2720.414255117798,64.65725046455343,10
100.0,2713.303043622247,69.84460702259742,10
110.0,2696.430955338329,90.21612181577468,10
120.0,2687.8929787770567,100.82353864619392,10
130.0,2679.5912872396243,101.56654430736363,10
140.0,2668.5569987254257,102.42976596316994,10
150.0,2657.971773728169,105.79004990814528,10
160.0,2647.5297824521476,109.10962138547596,10
170.0,2631.9086282202347,113.14964342027736,10
180.0,2614.150323296942,121.83971134202858,10
190.0,2593.3321444051408,139.36859925259895,10
200.0,2570.9653254675513,157.91106497067932,10
210.0,2534.8260570440543,186.35222438360069,10
220.0,2518.633907905804,193.3081359950364,10
230.0,2506.244183882315,196.8922587058963,10
240.0,2480.4535079955504,193.92446451663236,10
250.0,2461.4609665850585,196.6992302171327,10
260.0,2414.6655505050453,194.69196299251612,10
270.0,2365.4184617401907,195.4928521380631,10
280.0,2329.003782408263,195.69249083189203,10
290.0,2313.4125537202494,192.17806676418058,10
300.0,2301.7399248639094,192.21000276345737,10
310.0,2290.472271658802,194.972515527243,10
320.0,2275.7854288925037,192.48948265691882,10
330.0,2246.3255504877916,187.008456492359,10
340.0,2219.4564218144283,188.71834494891328,10
350.0,2189.5483303883475,195.4128491417851,10
360.0,2173.0442214616237,189.45596691205398,10
370.0,2159.2392432501656,181.1502251265825,10
380.0,2144.5802296196644,175.29699758369233,10
390.0,2124.0082490313066,173.00807876988398,10
400.0,2094.8704859037225,178.29534208558866,10
410.0,2074.48426501236,177.25468150867303,10
420.0,2046.3212616730602,153.51891663395384,10
430.0,2029.4053339626066,137.17734341041458,10
440.0,2015.716935360782,125.99728999670315,10
450.0,1996.539454295463,120.32257141902153,10
460.0,1981.8963751054441,117.02628270155967,10
470.0,1964.7659567179405,119.18838663485057,10
480.0,1944.3993747261466,118.00253137950851,10
490.0,1926.4265276632425,109.60583948844757,10
500.0,1916.937629633292,109.67183674588537,10
510.0,1902.2878868493935,111.20668091059493,10
520.0,1894.4403240658291,112.71396369497211,10
530.0,1887.170552001768,112.15399525971348,10
540.0,1881.5645374810379,108.47394827674259,10
550.0,1875.5485915238678,103.2322610425185,10
560.0,1862.2369541621865,96.77022792889521,10
570.0,1856.1386754161304,90.724903951198,10
580.0,1848.9472245223915,85.03914833220824,10
590.0,1847.8991147769307,82.7578443005328,10
600.0,1846.8590038507768,80.55044656196708,10
610.0,1840.043831518075,68.19879157549256,10
620.0,1837.0873809275254,64.36567548097973,10
630.0,1834.0345855027178,61.15096811712878,10
640.0,1826.7729582597276,57.393111006125494,10
650.0,1826.612074175712,57.228333669254404,10
660.0,1826.612074175712,57.228333669254404,10
670.0,1826.3189272155353,56.93855558300536,10
680.0,1823.5423618680954,54.898841090447064,10
690.0,1823.16471419049,54.72447242519004,10
700.0,1822.7870665128848,54.57568475726733,10
710.0,1822.7193556098457,54.551728763585444,10
