time,best_perplexity_mean,best_perplexity_std,num_runs
0.0,10189.744062310205,478.92666362517815,10
10.0,10150.313892801207,508.26712072619983,10
20.0,10110.883723292207,541.0179004423491,10
30.0,10071.453553783209,576.5981762843013,10
40.0,10032.02338427421,614.516664458586,10
50.0,9992.593214765211,654.3670152199143,10
60.0,9953.163045256213,695.8173869816146,10
70.0,9913.732875747211,738.5984478399704,10
80.0,9874.302706238213,782.4919705561799,10
90.0,9834.872536729215,827.3209090345554,10
100.0,9795.442367220216,872.941163409208,10
110.0,9756.012197711218,919.2349257563432,10
120.0,9716.58202820222,966.1053816193688,10
130.0,9677.15185869322,1013.4725224519572,10
140.0,9637.721689184222,1061.269845441746,10
150.0,9596.817653032504,1107.7774748496934,10
160.0,9479.5066636829,1106.3985504634493,10
170.0,9349.59285710763,1127.8594998454164,10
180.0,9219.679050532357,1175.9922298370375,10
190.0,9089.765243957085,1247.7138182308574,10
200.0,8959.851437381814,1339.2397821499198,10
210.0,8853.056847172837,1418.6229479973738,10
220.0,8754.571159808005,1497.4134394216458,10
230.0,8663.418545097657,1576.8213664089235,10
240.0,8583.272441315548,1649.3729397728368,10
250.0,8538.319485746244,1684.9857616970837,10
260.0,8404.974471181427,1548.0238419046827,10
270.0,8242.6203532205,1451.8781024770153,10
280.0,8063.919908794928,1425.1865448603387,10
290.0,7869.070437664406,1483.7366379742489,10
300.0,7629.706219808252,1670.2655191656158,10
310.0,7420.863437415142,1879.0898779555425,10
320.0,7113.0674659836295,2176.271247692665,10
330.0,6888.448742247236,2395.026851052938,10
340.0,6783.2533679512635,2446.4081471507207,10
350.0,6667.942920625945,2453.1093023163876,10
360.0,6503.258570725457,2418.337950577646,10
370.0,6351.892647949893,2393.6458650104732,10
380.0,6098.40793065343,2442.3726985348417,10
390.0,5670.763719207747,2521.1473650297903,10
400.0,5381.529160709226,2550.784656824485,10
410.0,5183.619225775479,2535.73100477489,10
420.0,4990.480205976275,2491.6821164668177,10
430.0,4794.021106815238,2468.463497574404,10
440.0,4595.112621983789,2468.243934998924,10
450.0,4435.7481176430765,2474.6621866748856,10
460.0,4262.47502083061,2535.352563688381,10
470.0,4169.137855795237,2453.9654172015416,10
480.0,4022.2675575308303,2304.0261723254157,10
490.0,3886.572729853558,2159.240338996406,10
500.0,3755.600526383022,1991.7256633900777,10
510.0,3551.8257277807666,1852.1887772445261,10
520.0,3274.459359002807,1610.7204116375951,10
530.0,3135.266142527172,1477.90158277634,10
540.0,3023.2468688743033,1392.876877674498,10
550.0,2968.940869987167,1365.0244755084648,10
560.0,2922.043433217303,1259.4609768314194,10
570.0,2802.805828654201,1155.363612794029,10
580.0,2719.104462145861,1050.7347167705016,10
590.0,2662.956166313877,940.0656452593831,10
600.0,2593.0155192368106,852.2314831375357,10
610.0,2567.423787834212,859.8577012752922,10
620.0,2556.520450795335,845.7373434358076,10
630.0,2523.1472730448863,775.2517971585074,10
640.0,2441.6864167470358,612.3230668157858,10
650.0,2349.2568831959206,426.6713075455569,10
660.0,2307.629154403783,323.3914278408709,10
670.0,2282.396394344325,267.48565190384534,10
680.0,2223.877755064829,145.99881603459582,10
690.0,2157.7896462431013,26.89499401692437,10
700.0,2155.8406113677383,24.46112110420539,10
710.0,2155.1214331566853,23.904262715394935,10
720.0,2154.9839058005387,23.821034549167614,10
730.0,2154.9839058005387,23.821034549167614,10
