time,best_perplexity_mean,best_perplexity_std,num_runs
0.0,10189.744062310205,478.92666362517815,10
10.0,9828.505381142077,429.010347888655,10
20.0,9467.266699973949,402.9423455753196,10
30.0,9106.028018805819,405.3501139974333,10
40.0,8744.78933763769,435.7618865567754,10
50.0,8383.55065646956,488.9802188546112,10
60.0,8022.3119753014325,558.5234219658856,10
70.0,7661.073294133304,639.0842645032484,10
80.0,7299.8346129651745,727.0092896137085,10
90.0,6938.5959317970455,819.9328283654679,10
100.0,6577.357250628916,916.3354760544626,10
110.0,6216.1185694607875,1015.2266210646354,10
120.0,5854.879888292659,1115.9448935133273,10
130.0,5493.64120712453,1218.0371276756805,10
140.0,5147.046848533132,1283.2222320436952,10
150.0,4846.984344008177,1233.56684317867,10
160.0,4547.070660339823,1193.14781721042,10
170.0,4247.99778812026,1161.6674121354763,10
180.0,3948.9249159007,1142.0656704854555,10
190.0,3649.8520436811386,1134.958224590476,10
200.0,3386.3463096755077,1095.0436881069124,10
210.0,3154.7083176375695,1034.2846602798522,10
220.0,2944.0013345087727,971.3365877613296,10
230.0,2794.8359826611477,874.1396868030924,10
240.0,2686.4139715531524,752.9394455743756,10
250.0,2575.912056159199,640.3443605535979,10
260.0,2464.0182783009623,540.3786225828308,10
270.0,2370.9585755319677,449.06571296188423,10
280.0,2304.17735754856,365.34008661793877,10
290.0,2254.32724573597,290.54727606307944,10
300.0,2228.741230830115,216.34280628153775,10
310.0,2204.2286807735645,142.03338332164387,10
320.0,2179.7161307170136,69.21408995170853,10
330.0,2160.8127009384975,24.60032494794353,10
340.0,2160.586073711477,24.452102173599602,10
350.0,2160.3594464844573,24.324099405166727,10
360.0,2160.1328192574374,24.216637277649564,10
370.0,2159.9219532923053,24.135337831488922,10
380.0,2159.92184873734,24.135446665358263,10
390.0,2159.921726772221,24.13557362699368,10
400.0,2159.740208999684,24.08032073181404,10
410.0,2159.5096873210114,24.029668855344376,10
420.0,2159.279285754801,24.000913191826438,10
430.0,2159.1316736322683,23.994102637800925,10
440.0,2158.5378406965488,23.571560301556183,10
450.0,2157.6814557719817,23.21751971685094,10
460.0,2152.210608292873,21.377777837473722,10
470.0,2150.6472694173353,22.02258138480908,10
480.0,2150.5576868526723,22.048084673933115,10
490.0,2150.5576868526723,22.048084673933115,10
500.0,2150.5576868526723,22.048084673933115,10
510.0,2150.5576868526723,22.048084673933115,10
520.0,2150.5576868526723,22.048084673933115,10
530.0,2150.5576868526723,22.048084673933115,10
540.0,2150.5576868526723,22.048084673933115,10
550.0,2150.5576868526723,22.048084673933115,10
560.0,2150.5576868526723,22.048084673933115,10
570.0,2150.5576868526723,22.048084673933115,10
580.0,2150.5576868526723,22.048084673933115,10
590.0,2150.5576868526723,22.048084673933115,10
600.0,2150.5576868526723,22.048084673933115,10
610.0,2150.5576868526723,22.048084673933115,10
620.0,2150.5576868526723,22.048084673933115,10
630.0,2150.5576868526723,22.048084673933115,10
640.0,2150.5576868526723,22.048084673933115,10
650.0,2150.5576868526723,22.048084673933115,10
660.0,2150.5576868526723,22.048084673933115,10
670.0,2150.5576868526723,22.048084673933115,10
680.0,2150.5576868526723,22.048084673933115,10
690.0,2150.5576868526723,22.048084673933115,10
700.0,2150.5576868526723,22.048084673933115,10
710.0,2150.5576868526723,22.048084673933115,10
720.0,2150.5576868526723,22.048084673933115,10
