individual_id,T,alpha,eta,fitness
0,2,0.5,0.5,1389.077655845198
1,2,0.5,0.5,1389.077655845198
2,2,0.5,0.5,1389.077655845198
3,2,0.5,0.5,1389.077655845198
4,2,0.5,0.5,1389.077655845198
5,2,0.5,0.5,1389.077655845198
6,6,0.16666666666666666,0.16666666666666666,1500.0749650451014
7,2,0.5,0.5,1389.077655845198
8,2,0.5,0.5,1389.077655845198
9,2,0.5,0.5,1389.077655845198
10,2,0.5,0.5,1389.077655845198
11,2,0.5,0.5,1389.077655845198
12,2,0.5,0.5,1389.077655845198
13,2,0.5,0.5,1389.077655845198
14,2,0.5,0.5,1389.077655845198
15,6,0.16666666666666666,0.16666666666666666,1500.0749650451014
16,2,0.5,0.5,1389.077655845198
17,2,0.5,0.5,1389.077655845198
18,2,0.5,0.5,1389.077655845198
19,2,0.5,0.5,1389.077655845198
