iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std,cum_time_mean,cum_time_std
0,2791.9056785575,51.88026611266609,115.0,0.0,0.00044073999160896003,6.766884008559822e-05,0.00044073999160896003,6.766884008559822e-05
1,2230.7727251527685,705.6069502162302,70.9,57.02134103415433,29.519475559995044,26.09961515175719,29.519916299986654,26.09961515175719
2,1929.9939525565928,638.3871210705368,50.4,52.74508929222175,13.42778599000303,20.62397955780135,42.947702289989685,20.62397955780135
3,1788.6613625995706,592.3497484104741,39.1,49.363616831292525,22.134228929982054,26.84878462361616,65.08193121997174,26.84878462361616
4,1788.6613625995706,592.3497484104741,39.1,49.363616831292525,35.85494172000326,27.443982808480644,100.93687293997499,27.443982808480644
5,1610.4160308607527,491.11314806012285,23.2,42.75979419969185,25.392367549985646,26.683956400372356,126.32924048996064,26.683956400372356
6,1464.1381452913163,265.2109097172377,11.9,28.286038959175606,35.23111513002077,37.722998815867385,161.5603556199814,37.722998815867385
7,1464.1381452913163,265.2109097172377,11.9,28.286038959175606,26.803637539979537,34.28066194075486,188.36399315996096,34.28066194075486
8,1444.5010587404636,267.54891229846237,11.0,28.460498941515414,31.92171219998272,34.310628473044034,220.28570535994368,34.310628473044034
9,1444.5010587404636,267.54891229846237,11.0,28.460498941515414,12.00996477000881,21.36885506120499,232.2956701299525,21.36885506120499
10,1444.5010587404636,267.54891229846237,11.0,28.460498941515414,17.391855569998732,29.598120933569568,249.68752569995124,29.598120933569568
11,1412.8897751644586,168.62771171654495,8.1,19.289893727027113,5.956389560014941,18.835668921418517,255.64391525996618,18.835668921418517
12,1412.8897751644586,168.62771171654495,8.1,19.289893727027113,41.63324172000866,23.949920926674253,297.27715697997485,23.949920926674253
13,1412.8897751644586,168.62771171654495,8.1,19.289893727027113,6.054092359996867,11.365079527001964,303.3312493399717,11.365079527001964
14,1356.9837735976464,32.48187305154678,2.0,0.0,18.062520679994485,21.62430048598358,321.39377001996615,21.62430048598358
15,1356.9837735976464,32.48187305154678,2.0,0.0,25.625815610017163,26.958386098261606,347.01958562998334,26.958386098261606
16,1356.9837735976464,32.48187305154678,2.0,0.0,24.988998889981303,19.09041714895281,372.00858451996464,19.09041714895281
17,1356.9837735976464,32.48187305154678,2.0,0.0,18.61121078998549,35.1348874491138,390.6197953099501,35.1348874491138
18,1356.9837735976464,32.48187305154678,2.0,0.0,43.46049174999352,36.26538183925941,434.08028705994366,36.26538183925941
19,1356.9837735976464,32.48187305154678,2.0,0.0,23.800127280014568,34.694336880554964,457.88041433995824,34.694336880554964
20,1356.9837735976464,32.48187305154678,2.0,0.0,24.508859709999523,35.10614096322608,482.38927404995775,35.10614096322608
