iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std,cum_time_mean,cum_time_std
0,2604.0874738773455,51.34854679858547,115.0,0.0,0.0,0.0,0.0,0.0
1,2489.339601864314,147.56094345768932,109.5,7.245688373094719,325.25821630001303,92.10485261601526,325.25821630001303,92.10485261601526
2,2355.479894513735,114.02877418427441,99.8,6.124631508189787,105.46243887998862,32.264826886518584,430.72065518000164,32.264826886518584
3,2254.8752661843646,187.20740532481236,92.5,15.728600983205368,54.93425957998261,27.801754504496902,485.65491475998425,27.801754504496902
4,2152.813949891176,220.8539608242859,83.0,17.56258649642599,40.78754350998206,25.78246514941842,526.4424582699663,25.78246514941842
5,2142.578216446825,222.19259973107748,81.6,18.00123452556642,27.619830409972927,21.403069086471767,554.0622886799392,21.403069086471767
6,2101.9461358797057,233.81275813671783,75.9,22.052714622518067,18.27323686000891,13.700537946222626,572.3355255399481,13.700537946222626
7,2066.977024561763,207.19927078652938,75.0,22.120880030716076,19.066555000015068,10.422183900104747,591.4020805399632,10.422183900104747
8,2049.909071574667,223.92996445290655,72.1,25.256242352689316,7.802981370023917,10.015229615151684,599.2050619099871,10.015229615151684
9,2019.069684515535,229.90861991012574,66.9,29.243992735451005,20.899007330008317,15.714391825930003,620.1040692399954,15.714391825930003
10,1915.4355351047027,148.3716376580009,58.0,22.050447211388303,14.35884418998612,9.973551868038937,634.4629134299815,9.973551868038937
11,1886.5772288095807,164.55791905708446,49.7,30.976873093756037,22.999535790004302,15.499378779722175,657.4624492199858,15.499378779722175
12,1879.0148444250894,173.04571976605308,47.5,33.30415389507241,14.024541330023203,17.152820962840917,671.4869905500091,17.152820962840917
13,1874.6267611898115,170.78012830240976,47.2,33.15217438821573,4.5337039100006225,6.560356051538141,676.0206944600097,6.560356051538141
14,1854.521546683996,174.3174395749183,43.2,33.178975940261395,6.648167609993834,7.743571868158054,682.6688620700036,7.743571868158054
15,1830.8630902465422,182.90907833054573,40.7,32.4997435887321,13.769552119984292,15.363721892784989,696.4384141899878,15.363721892784989
16,1828.5357437549599,184.6108444331493,40.2,32.85253245777088,9.571988700004294,12.412311254543285,706.0104028899922,12.412311254543285
17,1826.7400830144732,185.63548526876914,39.7,33.213283821721426,6.02150470999768,9.501636413442524,712.0319075999898,9.501636413442524
18,1826.1463072029019,185.33790004721578,39.3,32.89731498668748,4.432405119994655,5.155876306366927,716.4643127199845,5.155876306366927
19,1781.4112614883713,184.53143650072084,30.8,31.26872772169238,6.159554529981688,7.404083209876,722.6238672499662,7.404083209876
20,1776.3456026112813,185.93608053012525,30.7,31.542035444783835,4.722896419977769,5.54715769617802,727.346763669944,5.54715769617802
