iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std,cum_time_mean,cum_time_std
0,2604.0874738773455,51.34854679858547,115.0,0.0,0.0,0.0,0.0,0.0
1,1864.125766062699,70.76834028814392,10.9,16.40088073515837,280.10372817000007,66.05101896704535,280.10372817000007,66.05101896704535
2,1700.4102743819597,31.781282629303693,11.8,7.0206045956804095,35.50565837999984,19.123556368793956,315.6093865499999,19.123556368793956
3,1689.8856029091348,22.09222470736477,10.7,5.538752366533259,45.23863025000046,26.10375801571293,360.8480168000004,26.10375801571293
4,1685.6894834490627,23.830099756906368,12.3,8.069834088890689,43.11292179000011,17.71056030765172,403.96093859000047,17.71056030765172
5,1684.705595683715,23.227258909614548,9.8,4.894441291460708,43.21392193000029,22.852988987302794,447.1748605200008,22.852988987302794
6,1681.7423707008033,25.52879053001229,10.5,4.624812308503869,43.775109189999604,25.44181874770821,490.9499697100004,25.44181874770821
7,1680.532001550304,24.281533577524787,10.3,4.922736366426028,56.01739275,69.57768100010495,546.9673624600005,69.57768100010495
8,1680.532001550304,24.281533577524787,10.3,4.922736366426028,48.368514009999856,21.98198183292675,595.3358764700004,21.98198183292675
9,1680.532001550304,24.281533577524787,10.3,4.922736366426028,20.564099260000148,15.752697381408357,615.8999757300005,15.752697381408357
10,1680.532001550304,24.281533577524787,10.3,4.922736366426028,19.030762759999742,6.768064798943277,634.9307384900003,6.768064798943277
11,1680.532001550304,24.281533577524787,10.3,4.922736366426028,16.291402529999505,12.422695460241378,651.2221410199998,12.422695460241378
12,1680.532001550304,24.281533577524787,10.3,4.922736366426028,27.761891070000456,16.378655071601266,678.9840320900003,16.378655071601266
13,1680.532001550304,24.281533577524787,10.3,4.922736366426028,39.86561375000074,35.57127220035854,718.849645840001,35.57127220035854
14,1680.532001550304,24.281533577524787,10.3,4.922736366426028,20.380575040000075,20.85377687319573,739.2302208800011,20.85377687319573
15,1679.9624145048278,25.094876596519214,10.4,4.971027168615267,14.518755479998617,8.008283554601833,753.7489763599997,8.008283554601833
16,1679.9624145048278,25.094876596519214,10.4,4.971027168615267,17.977283660000467,9.59213816115157,771.7262600200002,9.59213816115157
17,1679.9624145048278,25.094876596519214,10.4,4.971027168615267,19.462216879999325,15.033445804209975,791.1884768999995,15.033445804209975
18,1679.9624145048278,25.094876596519214,10.4,4.971027168615267,16.984790199999225,17.129964200544542,808.1732670999987,17.129964200544542
19,1679.9624145048278,25.094876596519214,10.4,4.971027168615267,15.681928510000398,23.14123991185486,823.8551956099991,23.14123991185486
20,1679.9624145048278,25.094876596519214,10.4,4.971027168615267,11.700175139999919,5.592921423079209,835.555370749999,5.592921423079209
