iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std,cum_time_mean,cum_time_std
0,10189.744062310205,478.92666362517815,115.0,0.0,0.00040252999169747993,9.131521633683086e-05,0.00040252999169747993,9.131521633683086e-05
1,6998.031149568362,4112.581997557567,70.9,57.02134103415433,22.01657675000606,20.917840935224202,22.016979279997756,20.917840935224202
2,5179.065262409378,3768.6856244590913,50.4,52.74508929222175,10.431044089992065,16.37699471231328,32.44802336998982,16.37699471231328
3,4369.781172036392,3420.8748309479743,39.1,49.363616831292525,16.310778570000547,21.593922033809356,48.75880193999036,21.593922033809356
4,4369.781172036392,3420.8748309479743,39.1,49.363616831292525,26.889987589989325,19.85303061548754,75.6487895299797,19.85303061548754
5,3466.3742632388858,2879.4282296618776,23.2,42.75979419969185,18.233165489998648,18.40767699234321,93.88195501997834,18.40767699234321
6,2610.934158222122,1340.8585215155142,11.9,28.286038959175606,26.210575570014772,27.68651712132151,120.0925305899931,27.68651712132151
7,2610.934158222122,1340.8585215155142,11.9,28.286038959175606,20.59946615998633,26.980449137191762,140.69199674997944,26.980449137191762
8,2607.7620325694907,1341.8465129736808,11.0,28.460498941515414,23.345280310022645,26.076577902559418,164.03727706000208,26.076577902559418
9,2607.7620325694907,1341.8465129736808,11.0,28.460498941515414,9.163394459988922,16.67737358121597,173.200671519991,16.67737358121597
10,2607.7620325694907,1341.8465129736808,11.0,28.460498941515414,13.54654544001678,22.26341039351187,186.7472169600078,22.26341039351187
11,2368.169032463464,584.9623903410134,8.1,19.289893727027113,4.369249630020931,13.81669219884288,191.11646659002872,13.81669219884288
12,2368.169032463464,584.9623903410134,8.1,19.289893727027113,32.126577749999704,19.344030839890227,223.24304434002843,19.344030839890227
13,2368.169032463464,584.9623903410134,8.1,19.289893727027113,4.007137520029209,8.630944803768104,227.25018186005764,8.630944803768104
14,2184.545937364734,40.17302752018585,2.0,0.0,13.82238783998182,16.158011738402177,241.07256970003945,16.158011738402177
15,2184.545937364734,40.17302752018585,2.0,0.0,18.98220368998591,19.32493439120552,260.0547733900254,19.32493439120552
16,2184.545937364734,40.17302752018585,2.0,0.0,18.748914149985648,15.412299977099758,278.803687540011,15.412299977099758
17,2184.545937364734,40.17302752018585,2.0,0.0,13.200880729989148,24.342480813455147,292.00456827000016,24.342480813455147
18,2184.545937364734,40.17302752018585,2.0,0.0,33.251650620007425,27.87974848508833,325.2562188900076,27.87974848508833
19,2184.545937364734,40.17302752018585,2.0,0.0,18.49110907999566,27.90396781637502,343.74732797000325,27.90396781637502
20,2184.545937364734,40.17302752018585,2.0,0.0,18.28611179001164,25.75261155533963,362.0334397600149,25.75261155533963
