iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std,cum_time_mean,cum_time_std
0,2604.0874738773455,51.34854679858547,115.0,0.0,0.0,0.0,0.0,0.0
1,2564.40309901578,55.54487518196554,113.2,2.485513584307633,128.5982899799943,25.288670180707644,128.5982899799943,25.288670180707644
2,2506.4850975513123,62.41315442057637,110.7,2.584139659108574,62.30768809001893,16.16766028874926,190.90597807001322,16.16766028874926
3,2461.8547839027915,85.93508648314898,108.4,3.9496835316262997,39.51006887997501,21.240344410520592,230.41604694998824,21.240344410520592
4,2400.8783683174224,80.24130856269787,105.2,3.6757463338907264,23.665618370007724,20.28555571350088,254.08166531999598,20.28555571350088
5,2382.968218734364,89.61712161730945,104.4,4.376706016578627,15.68872601998737,9.613932537024956,269.77039133998335,9.613932537024956
6,2352.3852759630436,79.63192396851275,102.4,4.742245131674331,14.055131650017575,10.847801611837856,283.82552299000093,10.847801611837856
7,2314.9823434955842,87.78456359938642,100.5,6.222718234198156,13.132812719990033,17.199007628339057,296.958335709991,17.199007628339057
8,2286.8260239161373,75.43163949072141,98.1,5.6656861896861175,10.289739819988608,12.283475860236273,307.2480755299796,12.283475860236273
9,2245.005883260629,69.92201186447525,95.1,7.156193898373011,9.855867969989777,7.894472912011117,317.1039434999694,7.894472912011117
10,2212.9546264721675,85.92453734558455,93.0,8.51143022320247,14.659199689992239,12.825565371820765,331.7631431899616,12.825565371820765
11,2178.116803371109,105.19458628990024,91.5,9.466314547441952,15.636635339981876,13.319208365329265,347.3997785299435,13.319208365329265
12,2160.3764651533943,112.72082964269745,87.9,10.482260146446365,23.066578260017558,19.563769357784064,370.466356789961,19.563769357784064
13,2138.4328563052177,125.02548209326896,86.7,11.70991982134046,20.26284902000334,12.934541786827388,390.72920580996436,12.934541786827388
14,2114.828634097299,131.292696412946,84.6,12.633289357883006,18.291264210024384,16.724319106617425,409.02047001998875,16.724319106617425
15,2100.6371754635766,143.66124471310044,83.6,13.426342266852378,13.981821399985346,13.649192192251578,423.0022914199741,13.649192192251578
16,2097.1640080825377,146.76425621060764,83.1,13.747322971723946,6.6720172499888575,6.2535562843924986,429.67430866996295,6.2535562843924986
17,2082.400637825,153.105651389658,81.8,14.58918930045273,4.821222680003848,9.505291166433036,434.4955313499668,9.505291166433036
18,2067.0426056487204,166.92327810123064,80.1,16.312571838922274,7.279198380012531,10.366284022242324,441.77472972997936,10.366284022242324
19,2059.9667921083333,170.5860592087473,80.2,16.3149556474352,6.213409780000802,7.2313040778240625,447.98813950998016,7.2313040778240625
20,2056.9097290708687,173.287978409376,78.5,17.608394462742922,6.048501809989102,11.032041828298437,454.03664131996925,11.032041828298437
