iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std,cum_time_mean,cum_time_std
0,2791.9056785575,51.88026611266609,115.0,0.0,0.0,0.0,0.0,0.0
1,2699.643015754457,82.47082061686143,112.7,2.1108186931983415,126.22939422999043,24.62233799445794,126.22939422999043,24.62233799445794
2,2624.947146618946,84.48269836669806,110.3,2.406010991015812,57.423926369997204,22.541459784244875,183.65332059998764,22.541459784244875
3,2555.4331814480897,77.13325912092724,107.2,2.6583202716502514,43.39673827000661,21.353960327513164,227.05005886999425,21.353960327513164
4,2493.053878190925,76.86875188083432,104.5,2.41522945769824,27.695712289994116,16.8017239502883,254.74577115998835,16.8017239502883
5,2441.9459951503086,84.52497326851677,102.2,3.8239014399199966,20.795800550002603,11.960767451290618,275.54157170999093,11.960767451290618
6,2364.4658013912567,83.78016071394987,98.0,3.9157800414902435,15.199288719985635,16.92392811117147,290.7408604299766,16.92392811117147
7,2318.5610044244163,78.12261390564471,95.6,4.550946177566937,8.491726429993287,14.93311480393286,299.23258685996984,14.93311480393286
8,2252.0691268635683,69.87608700198395,92.0,4.320493798938574,14.030622090003453,11.561463007951867,313.2632089499733,11.561463007951867
9,2189.8911714603205,80.88632727623266,88.8,5.3499740393970345,19.379169380001258,10.95771994907564,332.6423783299746,10.95771994907564
10,2145.6559520856117,76.19547410325202,85.5,5.126185499743233,22.34608718000818,9.141310723303079,354.98846550998275,9.141310723303079
11,2104.7240431425016,59.02860971406065,82.9,4.306326095924976,24.560953239991797,12.725284508445123,379.54941874997456,12.725284508445123
12,2055.022934450345,73.49683993200335,80.4,4.273952113286562,28.58536821998423,11.963972472435207,408.1347869699588,11.963972472435207
13,2021.0726874415636,67.57741938595383,77.1,4.998888765404656,27.148115010000765,14.153467722631444,435.28290197995955,14.153467722631444
14,1983.6738907268657,47.192164537327734,73.7,4.270050741306634,24.373544079996645,15.887164916460351,459.6564460599562,15.887164916460351
15,1945.6619435334767,60.98750489198584,70.8,4.184627953726723,15.29247888001846,10.951233479409835,474.94892493997463,10.951233479409835
16,1912.0308382542244,62.22082699643346,68.0,4.898979485566356,9.5507936800248,7.5486564864455525,484.49971861999944,7.5486564864455525
17,1888.7966743637876,60.662449751724296,65.7,4.1379007023153935,9.794794190011453,10.27483685640728,494.2945128100109,10.27483685640728
18,1869.1523715741587,51.593122687623406,63.1,4.306326095924976,10.920891659997869,9.916822315308947,505.21540447000876,9.916822315308947
19,1848.2950821412255,59.76394721948148,60.4,5.680375574437544,14.182785080024042,8.51006633437771,519.3981895500328,8.51006633437771
20,1822.7193556098457,54.551728763585444,58.1,5.065131346328104,9.905798690021038,9.200001877128793,529.3039882400539,9.200001877128793
