iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std,cum_time_mean,cum_time_std
0,10189.744062310205,478.92666362517815,115.0,0.0,0.0,0.0,0.0,0.0
1,9200.74995481932,1609.570238306376,109.5,7.245688373094719,244.85214418999385,70.6048014464737,244.85214418999385,70.6048014464737
2,7921.2869160268065,1440.7101229258062,102.2,7.0992957397195395,78.38364077999722,22.07605274703658,323.2357849699911,22.07605274703658
3,6710.218681366484,1407.5669512018465,95.0,12.165525060596439,41.529132050008045,24.500064496278696,364.76491701999913,24.500064496278696
4,5608.29600565317,1546.0014513994747,83.3,17.05579080547132,28.446728240011726,19.29525984164444,393.21164526001087,19.29525984164444
5,5363.04967749466,1639.3939487795226,80.9,18.34514770843899,19.493328310002106,12.013999959533116,412.70497357001295,12.013999959533116
6,4700.886681821332,1751.157244267704,68.0,24.472206457303535,20.03931151999859,14.093221395143004,432.74428509001154,14.093221395143004
7,4306.55898415678,1875.4070371460455,58.3,32.90744596592085,23.167656419984997,7.004474215847049,455.91194150999655,7.004474215847049
8,4186.788571783962,1939.2646597963671,55.3,33.88559182504171,12.248253100004513,12.625898154977818,468.16019461000104,12.625898154977818
9,3893.161175541817,1717.2130905585336,51.0,32.799051476800024,14.84183474999154,6.979239378341028,483.0020293599926,6.979239378341028
10,3156.802531680575,906.3119197000494,36.5,27.869736672997508,17.310814869997557,13.966879048409353,500.31284422999016,13.966879048409353
11,3090.573423623072,939.8656017603363,33.5,30.074906483645133,17.195809269999152,14.265079056288037,517.5086534999894,14.265079056288037
12,3019.906473554478,870.7491878777734,32.5,29.266021253323792,6.514487779978663,4.883715211261156,524.0231412799681,4.883715211261156
13,2937.2874173302653,867.5903438879789,29.7,31.219829880666833,7.663262389984448,7.422229153893288,531.6864036699525,7.422229153893288
14,2671.536912853546,699.396620804996,20.0,25.442746183015178,5.64665830997983,6.489511621150772,537.3330619799323,6.489511621150772
15,2518.579067710934,524.5872020159089,16.6,20.699973161549966,8.046494530001656,11.879956426277843,545.3795565099339,11.879956426277843
16,2354.048578055291,312.64239400155196,12.5,13.014948670236425,8.576985090016388,7.552181109750533,553.9565415999502,7.552181109750533
17,2297.052803429895,302.2654087250767,9.8,12.236557250032925,4.087420519988518,5.23996910664803,558.0439621199388,5.23996910664803
18,2229.2953085181507,211.76643640358685,6.4,7.848566748139434,4.4427293499931695,5.686399552532467,562.486691469932,5.686399552532467
19,2156.6674096297643,24.815516456001085,3.7,2.2632326929023945,7.028866300021764,6.80027009069036,569.5155577699537,6.80027009069036
20,2154.9839058005387,23.821034549167614,3.8,2.2010098692292237,2.864181609998923,3.466987475979988,572.3797393799526,3.466987475979988
