iter,T_best,best_perplexity,T_current,current_fitness,strategy,temperature,improvement,step_time,cum_time,no_improvement_count
0,115,2794.274905767759,115,2794.274905767759,initial,1.0,True,0.00036319997161626816,0.00036419997923076153,0
1,115,2794.274905767759,501,255483617.33697137,exploration,0.95,False,49.70321189996321,49.70357979997061,1
2,115,2794.274905767759,312,147247.2620582098,exploration,0.9025,False,30.082373399985954,79.78701740002725,2
3,115,2794.274905767759,123,3064.9208530779506,transformer,0.8573749999999999,False,12.727653600042686,92.5150654000463,3
4,115,2794.274905767759,193,8418.570538075302,transformer,0.8145062499999999,False,18.904511100030504,111.4199474999914,4
5,115,2794.274905767759,122,2901.0558371765196,exploration,0.7737809374999999,False,12.78316089999862,124.20352870004717,5
6,2,1331.4960500733955,2,1331.4960500733955,transformer,0.7350918906249998,True,3.650004509836435e-05,124.2039276000578,0
7,2,1331.4960500733955,2,1331.4960500733955,transformer,0.6983372960937497,False,2.1700048819184303e-05,124.20435250003356,1
8,2,1331.4960500733955,816,1.7495858921751894e+16,exploration,0.6634204312890623,False,86.19625310006086,210.4013342000544,2
9,2,1331.4960500733955,2,1331.4960500733955,transformer,0.6302494097246091,False,6.240000948309898e-05,210.40203860006295,3
10,2,1331.4960500733955,870,6.272235265260346e+17,exploration,0.5987369392383786,False,92.75772370002232,303.1600484000519,4
11,2,1331.4960500733955,2,1331.4960500733955,transformer,0.5688000922764596,False,3.520003519952297e-05,303.1605042000301,5
12,2,1331.4960500733955,419,6790997.1509193145,exploration,0.5403600876626365,False,41.20103290001862,344.3618564000353,6
13,2,1331.4960500733955,60,1858.0840620731653,exploration,0.5133420832795047,False,7.788065899978392,352.1504158000462,7
14,2,1331.4960500733955,89,2209.882798273927,transformer,0.48767497911552943,False,3.6199926398694515e-05,352.15083259996027,8
15,2,1331.4960500733955,2,1331.4960500733955,transformer,0.46329123015975293,False,1.8400023691356182e-05,352.15126890002284,9
16,2,1331.4960500733955,120,2894.29147567559,transformer,0.44012666865176525,False,12.463678999920376,364.6154852999607,10
17,2,1331.4960500733955,93,2282.4256867469503,exploration,0.41812033521917696,False,1.5700003132224083e-05,364.6158576000016,11
18,2,1331.4960500733955,338,361319.8475380616,exploration,0.3972143184582181,False,32.76509110000916,397.38125169998966,12
19,2,1331.4960500733955,282,66268.01873022087,transformer,0.37735360253530714,False,28.107881600037217,425.4894993000198,13
20,2,1331.4960500733955,2,1331.4960500733955,transformer,0.35848592240854177,False,4.000007174909115e-05,425.48994920006953,14
