individual_id,T,alpha,eta,fitness
0,116,0.008620689655172414,0.008620689655172414,2753.4666118811115
1,115,0.008695652173913044,0.008695652173913044,2795.1325669515186
2,124,0.008064516129032258,0.008064516129032258,3011.242058989869
3,128,0.0078125,0.0078125,3145.923327624189
4,133,0.007518796992481203,0.007518796992481203,3492.622077471859
5,147,0.006802721088435374,0.006802721088435374,4230.506314356797
6,113,0.008849557522123894,0.008849557522123894,2695.589029618773
7,133,0.007518796992481203,0.007518796992481203,3492.622077471859
8,138,0.007246376811594203,0.007246376811594203,3731.8283514779246
9,117,0.008547008547008548,0.008547008547008548,2871.954830141505
10,119,0.008403361344537815,0.008403361344537815,2931.3088569392103
11,133,0.007518796992481203,0.007518796992481203,3492.622077471859
12,132,0.007575757575757576,0.007575757575757576,3349.329795021554
13,147,0.006802721088435374,0.006802721088435374,4230.506314356797
14,133,0.007518796992481203,0.007518796992481203,3492.622077471859
15,137,0.0072992700729927005,0.0072992700729927005,3459.7017751697717
16,153,0.006535947712418301,0.006535947712418301,4510.203521732718
17,158,0.006329113924050633,0.006329113924050633,4655.711753231502
18,133,0.007518796992481203,0.007518796992481203,3492.622077471859
19,133,0.007518796992481203,0.007518796992481203,3492.622077471859
